ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,100.0%
70,https://leetcode.com/problems/climbing-stairs,"Climbing Stairs",Easy,54.0%,86.8%
7,https://leetcode.com/problems/reverse-integer,"Reverse Integer",Medium,31.8%,80.9%
53,https://leetcode.com/problems/maximum-subarray,"Maximum Subarray",Medium,53.2%,80.9%
2859,https://leetcode.com/problems/sum-of-values-at-indices-with-k-set-bits,"Sum of Values at Indices With K Set Bits",Easy,86.1%,80.9%
3000,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,"Maximum Area of Longest Diagonal Rectangle",Easy,45.9%,80.9%
3146,https://leetcode.com/problems/permutation-difference-between-two-strings,"Permutation Difference between Two Strings",Easy,87.8%,80.9%
3348,https://leetcode.com/problems/smallest-divisible-digit-product-ii,"Smallest Divisible Digit Product II",Hard,14.6%,80.9%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,78.6%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,56.7%,78.6%
740,https://leetcode.com/problems/delete-and-earn,"Delete and Earn",Medium,57.2%,78.6%
2099,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum,"Find Subsequence of Length K With the Largest Sum",Easy,57.4%,78.6%
2855,https://leetcode.com/problems/minimum-right-shifts-to-sort-the-array,"Minimum Right Shifts to Sort the Array",Easy,57.4%,78.6%
2960,https://leetcode.com/problems/count-tested-devices-after-test-operations,"Count Tested Devices After Test Operations",Easy,78.8%,78.6%
3028,https://leetcode.com/problems/ant-on-the-boundary,"Ant on the Boundary",Easy,74.4%,78.6%
3345,https://leetcode.com/problems/smallest-divisible-digit-product-i,"Smallest Divisible Digit Product I",Easy,64.3%,78.6%
3779,https://leetcode.com/problems/minimum-number-of-operations-to-have-distinct-elements,"Minimum Number of Operations to Have Distinct Elements",Medium,42.2%,78.6%
202,https://leetcode.com/problems/happy-number,"Happy Number",Easy,59.5%,76.0%
1356,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits,"Sort Integers by The Number of 1 Bits",Easy,78.7%,75.0%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,37.7%,73.1%
9,https://leetcode.com/problems/palindrome-number,"Palindrome Number",Easy,60.5%,73.1%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Letter Combinations of a Phone Number",Medium,65.9%,73.1%
169,https://leetcode.com/problems/majority-element,"Majority Element",Easy,66.2%,73.1%
189,https://leetcode.com/problems/rotate-array,"Rotate Array",Medium,44.8%,73.1%
214,https://leetcode.com/problems/shortest-palindrome,"Shortest Palindrome",Hard,42.4%,73.1%
875,https://leetcode.com/problems/koko-eating-bananas,"Koko Eating Bananas",Medium,49.9%,69.9%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,"Median of Two Sorted Arrays",Hard,46.4%,66.1%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Remove Duplicates from Sorted Array",Easy,62.7%,66.1%
283,https://leetcode.com/problems/move-zeroes,"Move Zeroes",Easy,63.8%,66.1%
1518,https://leetcode.com/problems/water-bottles,"Water Bottles",Easy,72.6%,66.1%
15,https://leetcode.com/problems/3sum,"3Sum",Medium,38.9%,61.7%
66,https://leetcode.com/problems/plus-one,"Plus One",Easy,49.9%,61.7%
88,https://leetcode.com/problems/merge-sorted-array,"Merge Sorted Array",Easy,54.7%,61.7%
151,https://leetcode.com/problems/reverse-words-in-a-string,"Reverse Words in a String",Medium,56.2%,61.7%
162,https://leetcode.com/problems/find-peak-element,"Find Peak Element",Medium,46.9%,61.7%
179,https://leetcode.com/problems/largest-number,"Largest Number",Medium,42.9%,61.7%
204,https://leetcode.com/problems/count-primes,"Count Primes",Medium,36.0%,61.7%
242,https://leetcode.com/problems/valid-anagram,"Valid Anagram",Easy,68.0%,61.7%
319,https://leetcode.com/problems/bulb-switcher,"Bulb Switcher",Medium,55.8%,61.7%
485,https://leetcode.com/problems/max-consecutive-ones,"Max Consecutive Ones",Easy,65.0%,61.7%
560,https://leetcode.com/problems/subarray-sum-equals-k,"Subarray Sum Equals K",Medium,47.2%,61.7%
2,https://leetcode.com/problems/add-two-numbers,"Add Two Numbers",Medium,48.3%,56.3%
11,https://leetcode.com/problems/container-with-most-water,"Container With Most Water",Medium,59.9%,56.3%
13,https://leetcode.com/problems/roman-to-integer,"Roman to Integer",Easy,66.5%,56.3%
14,https://leetcode.com/problems/longest-common-prefix,"Longest Common Prefix",Easy,47.4%,56.3%
19,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Remove Nth Node From End of List",Medium,51.4%,56.3%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,56.3%
48,https://leetcode.com/problems/rotate-image,"Rotate Image",Medium,79.6%,56.3%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,56.3%
198,https://leetcode.com/problems/house-robber,"House Robber",Medium,53.1%,56.3%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,64.2%,56.3%
217,https://leetcode.com/problems/contains-duplicate,"Contains Duplicate",Easy,64.3%,56.3%
279,https://leetcode.com/problems/perfect-squares,"Perfect Squares",Medium,56.5%,56.3%
349,https://leetcode.com/problems/intersection-of-two-arrays,"Intersection of Two Arrays",Easy,77.7%,56.3%
400,https://leetcode.com/problems/nth-digit,"Nth Digit",Medium,38.0%,56.3%
455,https://leetcode.com/problems/assign-cookies,"Assign Cookies",Easy,54.9%,56.3%
509,https://leetcode.com/problems/fibonacci-number,"Fibonacci Number",Easy,74.1%,56.3%
876,https://leetcode.com/problems/middle-of-the-linked-list,"Middle of the Linked List",Easy,81.8%,56.3%
962,https://leetcode.com/problems/maximum-width-ramp,"Maximum Width Ramp",Medium,55.9%,56.3%
3432,https://leetcode.com/problems/count-partitions-with-even-sum-difference,"Count Partitions with Even Sum Difference",Easy,85.2%,56.3%
27,https://leetcode.com/problems/remove-element,"Remove Element",Easy,60.2%,50.0%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Find the Index of the First Occurrence in a String",Easy,45.1%,50.0%
229,https://leetcode.com/problems/majority-element-ii,"Majority Element II",Medium,54.6%,50.0%
392,https://leetcode.com/problems/is-subsequence,"Is Subsequence",Easy,48.4%,50.0%
