ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,100.0%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.0%,84.1%
3348,https://leetcode.com/problems/smallest-divisible-digit-product-ii,Smallest Divisible Digit Product II,Hard,14.6%,84.1%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,81.7%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.8%,81.7%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,81.7%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,81.7%
740,https://leetcode.com/problems/delete-and-earn,Delete and Earn,Medium,57.2%,81.7%
3345,https://leetcode.com/problems/smallest-divisible-digit-product-i,Smallest Divisible Digit Product I,Easy,64.3%,81.7%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.5%,76.2%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,65.9%,76.2%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,66.2%,76.2%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.8%,76.2%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.5%,76.2%
1356,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits,Sort Integers by The Number of 1 Bits,Easy,78.7%,75.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,73.0%
214,https://leetcode.com/problems/shortest-palindrome,Shortest Palindrome,Hard,42.4%,73.0%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,69.2%
1518,https://leetcode.com/problems/water-bottles,Water Bottles,Easy,72.6%,69.2%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,62.7%,64.7%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.7%,64.7%
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,56.2%,64.7%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,46.9%,64.7%
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,42.9%,64.7%
