ID,URL,Title,Difficulty,Acceptance %,Frequency %
1234,https://leetcode.com/problems/replace-the-substring-for-balanced-string,Replace the Substring for Balanced String,Medium,40.8%,100.0%
2422,https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome,Merge Operations to Turn Array Into a Palindrome,Medium,68.9%,87.4%
3819,https://leetcode.com/problems/rotate-non-negative-elements,Rotate Non Negative Elements,Medium,48.0%,85.2%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,76.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,72.7%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,67.9%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,47.9%,67.9%
199,https://leetcode.com/problems/binary-tree-right-side-view,Binary Tree Right Side View,Medium,67.4%,62.5%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,61.8%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,47.7%,61.8%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,48.3%,53.1%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,53.1%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,53.1%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,53.1%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,53.1%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.0%,53.1%
80,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,Remove Duplicates from Sorted Array II,Medium,64.6%,53.1%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,53.1%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,53.1%
321,https://leetcode.com/problems/create-maximum-number,Create Maximum Number,Hard,35.2%,53.1%
1143,https://leetcode.com/problems/longest-common-subsequence,Longest Common Subsequence,Medium,59.1%,53.1%
1654,https://leetcode.com/problems/minimum-jumps-to-reach-home,Minimum Jumps to Reach Home,Medium,30.7%,53.1%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,45.6%,50.0%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,43.0%,50.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.3%,50.0%
345,https://leetcode.com/problems/reverse-vowels-of-a-string,Reverse Vowels of a String,Easy,58.5%,50.0%
