ID,URL,Title,Difficulty,Acceptance %,Frequency %
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,100.0%
692,https://leetcode.com/problems/top-k-frequent-words,"Top K Frequent Words",Medium,59.4%,100.0%
49,https://leetcode.com/problems/group-anagrams,"Group Anagrams",Medium,72.5%,93.7%
152,https://leetcode.com/problems/maximum-product-subarray,"Maximum Product Subarray",Medium,35.1%,87.5%
329,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Longest Increasing Path in a Matrix",Hard,55.4%,87.5%
347,https://leetcode.com/problems/top-k-frequent-elements,"Top K Frequent Elements",Medium,64.7%,87.5%
12,https://leetcode.com/problems/integer-to-roman,"Integer to Roman",Medium,68.8%,75.0%
51,https://leetcode.com/problems/n-queens,"N-Queens",Hard,73.1%,75.0%
74,https://leetcode.com/problems/search-a-2d-matrix,"Search a 2D Matrix",Medium,52.4%,75.0%
76,https://leetcode.com/problems/minimum-window-substring,"Minimum Window Substring",Hard,45.5%,75.0%
91,https://leetcode.com/problems/decode-ways,"Decode Ways",Medium,36.6%,75.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,55.4%,75.0%
169,https://leetcode.com/problems/majority-element,"Majority Element",Easy,65.8%,75.0%
238,https://leetcode.com/problems/product-of-array-except-self,"Product of Array Except Self",Medium,67.9%,75.0%
239,https://leetcode.com/problems/sliding-window-maximum,"Sliding Window Maximum",Hard,47.7%,75.0%
424,https://leetcode.com/problems/longest-repeating-character-replacement,"Longest Repeating Character Replacement",Medium,57.4%,75.0%
864,https://leetcode.com/problems/shortest-path-to-get-all-keys,"Shortest Path to Get All Keys",Hard,53.9%,75.0%
904,https://leetcode.com/problems/fruit-into-baskets,"Fruit Into Baskets",Medium,46.7%,75.0%
994,https://leetcode.com/problems/rotting-oranges,"Rotting Oranges",Medium,56.8%,75.0%
3046,https://leetcode.com/problems/split-the-array,"Split the Array",Easy,59.4%,75.0%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,74.4%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,37.7%,74.4%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,74.4%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,74.4%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Binary Tree Maximum Path Sum",Hard,42.2%,74.4%
227,https://leetcode.com/problems/basic-calculator-ii,"Basic Calculator II",Medium,46.8%,74.4%
289,https://leetcode.com/problems/game-of-life,"Game of Life",Medium,72.5%,74.4%
392,https://leetcode.com/problems/is-subsequence,"Is Subsequence",Easy,49.0%,74.4%
475,https://leetcode.com/problems/heaters,"Heaters",Medium,41.8%,74.4%
983,https://leetcode.com/problems/minimum-cost-for-tickets,"Minimum Cost For Tickets",Medium,67.4%,74.4%
1293,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Shortest Path in a Grid with Obstacles Elimination",Hard,46.2%,74.4%
1482,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets,"Minimum Number of Days to Make m Bouquets",Medium,56.4%,74.4%
