ID,URL,Title,Difficulty,Acceptance %,Frequency %
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,100.0%
692,https://leetcode.com/problems/top-k-frequent-words,Top K Frequent Words,Medium,59.4%,100.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,92.2%
51,https://leetcode.com/problems/n-queens,N-Queens,Hard,73.1%,87.5%
74,https://leetcode.com/problems/search-a-2d-matrix,Search a 2D Matrix,Medium,52.4%,87.5%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,35.1%,87.5%
329,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,Longest Increasing Path in a Matrix,Hard,55.4%,87.5%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,64.7%,87.5%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,57.4%,87.5%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,42.2%,81.2%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.8%,81.2%
289,https://leetcode.com/problems/game-of-life,Game of Life,Medium,72.5%,81.2%
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,49.0%,81.2%
475,https://leetcode.com/problems/heaters,Heaters,Medium,41.8%,81.2%
