ID,URL,Title,Difficulty,Acceptance %,Frequency %
380,https://leetcode.com/problems/insert-delete-getrandom-o1,"Insert Delete GetRandom O(1)",Medium,55.3%,100.0%
3076,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array,"Shortest Uncommon Substring in an Array",Medium,50.4%,85.9%
736,https://leetcode.com/problems/parse-lisp-expression,"Parse Lisp Expression",Hard,53.4%,78.3%
49,https://leetcode.com/problems/group-anagrams,"Group Anagrams",Medium,72.5%,71.7%
381,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,"Insert Delete GetRandom O(1) - Duplicates allowed",Hard,36.5%,68.8%
242,https://leetcode.com/problems/valid-anagram,"Valid Anagram",Easy,68.0%,65.4%
443,https://leetcode.com/problems/string-compression,"String Compression",Medium,59.9%,65.4%
362,https://leetcode.com/problems/design-hit-counter,"Design Hit Counter",Medium,69.7%,61.2%
322,https://leetcode.com/problems/coin-change,"Coin Change",Medium,48.3%,55.9%
933,https://leetcode.com/problems/number-of-recent-calls,"Number of Recent Calls",Easy,77.4%,50.0%
3163,https://leetcode.com/problems/string-compression-iii,"String Compression III",Medium,66.9%,50.0%
465,https://leetcode.com/problems/optimal-account-balancing,"Optimal Account Balancing",Hard,50.4%,48.3%
