ID,URL,Title,Difficulty,Acceptance %,Frequency %
1200,https://leetcode.com/problems/minimum-absolute-difference,Minimum Absolute Difference,Easy,75.1%,100.0%
1921,https://leetcode.com/problems/eliminate-maximum-number-of-monsters,Eliminate Maximum Number of Monsters,Medium,51.1%,98.6%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,97.1%
726,https://leetcode.com/problems/number-of-atoms,Number of Atoms,Hard,65.1%,89.8%
1011,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,Capacity To Ship Packages Within D Days,Medium,73.8%,89.8%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,68.6%,87.6%
3178,https://leetcode.com/problems/find-the-child-who-has-the-ball-after-k-seconds,Find the Child Who Has the Ball After K Seconds,Easy,62.0%,87.6%
3787,https://leetcode.com/problems/find-diameter-endpoints-of-a-tree,Find Diameter Endpoints of a Tree,Medium,68.5%,82.4%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,75.7%
63,https://leetcode.com/problems/unique-paths-ii,Unique Paths II,Medium,44.4%,75.7%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.5%,75.7%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,71.4%
1209,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,Remove All Adjacent Duplicates in String II,Medium,61.2%,71.4%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.5%,66.2%
844,https://leetcode.com/problems/backspace-string-compare,Backspace String Compare,Easy,49.9%,66.2%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,45.5%,62.5%
554,https://leetcode.com/problems/brick-wall,Brick Wall,Medium,55.9%,62.5%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.0%,59.6%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.7%,59.6%
724,https://leetcode.com/problems/find-pivot-index,Find Pivot Index,Easy,62.5%,59.6%
1283,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,Find the Smallest Divisor Given a Threshold,Medium,65.8%,59.6%
1636,https://leetcode.com/problems/sort-array-by-increasing-frequency,Sort Array by Increasing Frequency,Easy,80.8%,59.6%
78,https://leetcode.com/problems/subsets,Subsets,Medium,82.5%,59.5%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,50.2%,59.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,50.2%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,70.8%,50.2%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,50.2%
46,https://leetcode.com/problems/permutations,Permutations,Medium,81.8%,50.2%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,50.2%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.8%,50.2%
120,https://leetcode.com/problems/triangle,Triangle,Medium,59.9%,50.2%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,71.0%,50.2%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.1%,50.2%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.5%,50.2%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.3%,50.2%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,50.2%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.3%,50.2%
412,https://leetcode.com/problems/fizz-buzz,Fizz Buzz,Easy,75.4%,50.2%
496,https://leetcode.com/problems/next-greater-element-i,Next Greater Element I,Easy,76.0%,50.2%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,50.2%
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,54.2%,50.2%
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,57.0%,50.2%
977,https://leetcode.com/problems/squares-of-a-sorted-array,Squares of a Sorted Array,Easy,73.7%,50.2%
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,63.0%,50.2%
1071,https://leetcode.com/problems/greatest-common-divisor-of-strings,Greatest Common Divisor of Strings,Easy,53.7%,50.2%
1190,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,Reverse Substrings Between Each Pair of Parentheses,Medium,72.0%,50.2%
1331,https://leetcode.com/problems/rank-transform-of-an-array,Rank Transform of an Array,Easy,70.8%,50.2%
2734,https://leetcode.com/problems/lexicographically-smallest-string-after-substring-operation,Lexicographically Smallest String After Substring Operation,Medium,34.9%,50.2%
3893,https://leetcode.com/problems/maximum-team-size-with-overlapping-intervals,Maximum Team Size with Overlapping Intervals,Medium,58.8%,50.2%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.0%,50.0%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,41.6%,50.0%
66,https://leetcode.com/problems/plus-one,Plus One,Easy,47.7%,50.0%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,53.1%,50.0%
230,https://leetcode.com/problems/kth-smallest-element-in-a-bst,Kth Smallest Element in a BST,Medium,75.5%,50.0%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,62.9%,50.0%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,53.4%,50.0%
567,https://leetcode.com/problems/permutation-in-string,Permutation in String,Medium,47.4%,50.0%
605,https://leetcode.com/problems/can-place-flowers,Can Place Flowers,Easy,28.9%,50.0%
