ID,URL,Title,Difficulty,Acceptance %,Frequency %
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.7%,100.0%
631,https://leetcode.com/problems/design-excel-sum-formula,Design Excel Sum Formula,Hard,39.9%,93.4%
721,https://leetcode.com/problems/accounts-merge,Accounts Merge,Medium,61.2%,89.1%
638,https://leetcode.com/problems/shopping-offers,Shopping Offers,Medium,52.4%,84.0%
1298,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,Maximum Candies You Can Get from Boxes,Hard,67.7%,84.0%
1125,https://leetcode.com/problems/smallest-sufficient-team,Smallest Sufficient Team,Hard,55.8%,83.0%
3076,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array,Shortest Uncommon Substring in an Array,Medium,50.4%,77.3%
251,https://leetcode.com/problems/flatten-2d-vector,Flatten 2D Vector,Medium,50.2%,75.0%
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,53.0%,75.0%
2043,https://leetcode.com/problems/simple-bank-system,Simple Bank System,Medium,61.4%,75.0%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,50.9%,68.0%
1257,https://leetcode.com/problems/smallest-common-region,Smallest Common Region,Medium,68.3%,68.0%
1928,https://leetcode.com/problems/minimum-cost-to-reach-destination-in-time,Minimum Cost to Reach Destination in Time,Hard,41.4%,68.0%
160,https://leetcode.com/problems/intersection-of-two-linked-lists,Intersection of Two Linked Lists,Easy,64.1%,65.6%
2101,https://leetcode.com/problems/detonate-the-maximum-bombs,Detonate the Maximum Bombs,Medium,50.2%,65.6%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,74.9%,62.5%
348,https://leetcode.com/problems/design-tic-tac-toe,Design Tic-Tac-Toe,Medium,58.6%,62.5%
605,https://leetcode.com/problems/can-place-flowers,Can Place Flowers,Easy,28.9%,50.0%
755,https://leetcode.com/problems/pour-water,Pour Water,Medium,48.0%,50.0%
