ID,URL,Title,Difficulty,Acceptance %,Frequency %
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,48.4%,100.0%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.7%,100.0%
631,https://leetcode.com/problems/design-excel-sum-formula,Design Excel Sum Formula,Hard,39.9%,89.5%
721,https://leetcode.com/problems/accounts-merge,Accounts Merge,Medium,61.2%,84.5%
2101,https://leetcode.com/problems/detonate-the-maximum-bombs,Detonate the Maximum Bombs,Medium,50.2%,82.9%
1298,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,Maximum Candies You Can Get from Boxes,Hard,67.7%,78.1%
3076,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array,Shortest Uncommon Substring in an Array,Medium,50.4%,78.1%
1257,https://leetcode.com/problems/smallest-common-region,Smallest Common Region,Medium,68.3%,74.0%
638,https://leetcode.com/problems/shopping-offers,Shopping Offers,Medium,52.4%,69.1%
1928,https://leetcode.com/problems/minimum-cost-to-reach-destination-in-time,Minimum Cost to Reach Destination in Time,Hard,41.4%,69.1%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,74.9%,62.5%
2043,https://leetcode.com/problems/simple-bank-system,Simple Bank System,Medium,61.4%,62.5%
