ID,URL,Title,Difficulty,Acceptance %,Frequency %
38,https://leetcode.com/problems/count-and-say,Count and Say,Medium,60.7%,100.0%
2497,https://leetcode.com/problems/maximum-star-sum-of-a-graph,Maximum Star Sum of a Graph,Medium,42.3%,100.0%
740,https://leetcode.com/problems/delete-and-earn,Delete and Earn,Medium,57.2%,86.7%
1177,https://leetcode.com/problems/can-make-palindrome-from-substring,Can Make Palindrome from Substring,Medium,41.6%,86.7%
677,https://leetcode.com/problems/map-sum-pairs,Map Sum Pairs,Medium,57.2%,76.1%
741,https://leetcode.com/problems/cherry-pickup,Cherry Pickup,Hard,39.4%,76.1%
743,https://leetcode.com/problems/network-delay-time,Network Delay Time,Medium,60.2%,76.1%
1192,https://leetcode.com/problems/critical-connections-in-a-network,Critical Connections in a Network,Hard,59.5%,76.1%
1223,https://leetcode.com/problems/dice-roll-simulation,Dice Roll Simulation,Hard,50.8%,76.1%
1319,https://leetcode.com/problems/number-of-operations-to-make-network-connected,Number of Operations to Make Network Connected,Medium,66.4%,76.1%
1326,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,Minimum Number of Taps to Open to Water a Garden,Hard,51.0%,76.1%
1338,https://leetcode.com/problems/reduce-array-size-to-the-half,Reduce Array Size to The Half,Medium,69.4%,76.1%
1370,https://leetcode.com/problems/increasing-decreasing-string,Increasing Decreasing String,Easy,77.2%,76.1%
1425,https://leetcode.com/problems/constrained-subsequence-sum,Constrained Subsequence Sum,Hard,56.4%,76.1%
1649,https://leetcode.com/problems/create-sorted-array-through-instructions,Create Sorted Array through Instructions,Hard,41.6%,76.1%
1665,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks,Minimum Initial Energy to Finish Tasks,Hard,60.7%,76.1%
1819,https://leetcode.com/problems/number-of-different-subsequences-gcds,Number of Different Subsequences GCDs,Hard,45.2%,76.1%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,75.0%
733,https://leetcode.com/problems/flood-fill,Flood Fill,Easy,66.7%,75.0%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.4%,75.0%
1636,https://leetcode.com/problems/sort-array-by-increasing-frequency,Sort Array by Increasing Frequency,Easy,80.3%,75.0%
2204,https://leetcode.com/problems/distance-to-a-cycle-in-undirected-graph,Distance to a Cycle in Undirected Graph,Hard,72.9%,75.0%
2895,https://leetcode.com/problems/minimum-processing-time,Minimum Processing Time,Medium,69.3%,75.0%
