ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,100.0%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,82.8%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,82.2%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,67.2%,81.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,56.7%,77.0%
11,https://leetcode.com/problems/container-with-most-water,"Container With Most Water",Medium,59.9%,75.2%
2,https://leetcode.com/problems/add-two-numbers,"Add Two Numbers",Medium,48.3%,74.3%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,64.2%,74.3%
14,https://leetcode.com/problems/longest-common-prefix,"Longest Common Prefix",Easy,47.4%,72.2%
23,https://leetcode.com/problems/merge-k-sorted-lists,"Merge k Sorted Lists",Hard,59.4%,72.2%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,"Median of Two Sorted Arrays",Hard,46.4%,71.1%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,71.1%
15,https://leetcode.com/problems/3sum,"3Sum",Medium,38.9%,69.9%
875,https://leetcode.com/problems/koko-eating-bananas,"Koko Eating Bananas",Medium,49.9%,69.9%
49,https://leetcode.com/problems/group-anagrams,"Group Anagrams",Medium,72.5%,69.3%
560,https://leetcode.com/problems/subarray-sum-equals-k,"Subarray Sum Equals K",Medium,47.2%,69.3%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,37.7%,68.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,"Longest Consecutive Sequence",Medium,47.1%,68.0%
22,https://leetcode.com/problems/generate-parentheses,"Generate Parentheses",Medium,78.6%,67.4%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Letter Combinations of a Phone Number",Medium,65.9%,65.9%
9,https://leetcode.com/problems/palindrome-number,"Palindrome Number",Easy,60.5%,65.2%
169,https://leetcode.com/problems/majority-element,"Majority Element",Easy,66.2%,65.2%
207,https://leetcode.com/problems/course-schedule,"Course Schedule",Medium,51.3%,65.2%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,"Search in Rotated Sorted Array",Medium,44.4%,64.4%
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Lowest Common Ancestor of a Binary Tree",Medium,69.1%,64.4%
994,https://leetcode.com/problems/rotting-oranges,"Rotting Oranges",Medium,58.5%,64.4%
21,https://leetcode.com/problems/merge-two-sorted-lists,"Merge Two Sorted Lists",Easy,68.2%,63.6%
767,https://leetcode.com/problems/reorganize-string,"Reorganize String",Medium,57.0%,63.6%
1929,https://leetcode.com/problems/concatenation-of-array,"Concatenation of Array",Easy,90.4%,63.6%
53,https://leetcode.com/problems/maximum-subarray,"Maximum Subarray",Medium,53.2%,62.7%
2214,https://leetcode.com/problems/minimum-health-to-beat-game,"Minimum Health to Beat Game",Medium,58.7%,62.5%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,61.9%
70,https://leetcode.com/problems/climbing-stairs,"Climbing Stairs",Easy,54.0%,60.9%
78,https://leetcode.com/problems/subsets,"Subsets",Medium,82.3%,60.0%
136,https://leetcode.com/problems/single-number,"Single Number",Easy,77.6%,60.0%
18,https://leetcode.com/problems/4sum,"4Sum",Medium,40.5%,58.9%
69,https://leetcode.com/problems/sqrtx,"Sqrt(x)",Easy,41.7%,58.9%
239,https://leetcode.com/problems/sliding-window-maximum,"Sliding Window Maximum",Hard,48.7%,58.9%
242,https://leetcode.com/problems/valid-anagram,"Valid Anagram",Easy,68.0%,58.9%
904,https://leetcode.com/problems/fruit-into-baskets,"Fruit Into Baskets",Medium,50.9%,58.9%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Find the Index of the First Occurrence in a String",Easy,46.5%,57.9%
31,https://leetcode.com/problems/next-permutation,"Next Permutation",Medium,45.1%,57.9%
35,https://leetcode.com/problems/search-insert-position,"Search Insert Position",Easy,51.1%,57.9%
88,https://leetcode.com/problems/merge-sorted-array,"Merge Sorted Array",Easy,54.7%,57.9%
347,https://leetcode.com/problems/top-k-frequent-elements,"Top K Frequent Elements",Medium,66.3%,57.9%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Remove Duplicates from Sorted Array",Easy,62.7%,56.7%
