ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,87.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,82.8%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,78.5%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,48.3%,76.8%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,75.9%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,75.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,75.0%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,74.1%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,73.1%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,72.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,72.0%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.6%,70.9%
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,69.1%,69.7%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,69.7%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,65.9%,68.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,67.2%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,67.2%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,67.2%
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,57.0%,67.2%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,65.8%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,65.8%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,65.8%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,46.5%,65.8%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.0%,64.3%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.9%,64.3%
1929,https://leetcode.com/problems/concatenation-of-array,Concatenation of Array,Easy,90.4%,64.3%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.5%,62.7%
69,https://leetcode.com/problems/sqrtx,Sqrt(x),Easy,41.7%,62.7%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,62.7%
143,https://leetcode.com/problems/reorder-list,Reorder List,Medium,65.1%,62.7%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.4%,62.5%
3610,https://leetcode.com/problems/minimum-number-of-primes-to-sum-to-target,Minimum Number of Primes to Sum to Target,Medium,61.5%,62.5%
18,https://leetcode.com/problems/4sum,4Sum,Medium,40.5%,61.0%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,61.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,61.0%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.8%,61.0%
136,https://leetcode.com/problems/single-number,Single Number,Easy,77.6%,61.0%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.1%,61.0%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,47.7%,61.0%
16,https://leetcode.com/problems/3sum-closest,3Sum Closest,Medium,48.4%,59.1%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.2%,59.1%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,45.1%,59.1%
