ID,URL,Title,Difficulty,Acceptance %,Frequency %
1647,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique,Minimum Deletions to Make Character Frequencies Unique,Medium,61.5%,100.0%
1224,https://leetcode.com/problems/maximum-equal-frequency,Maximum Equal Frequency,Hard,38.1%,97.8%
3013,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-ii,Divide an Array Into Subarrays With Minimum Cost II,Hard,54.7%,97.8%
1201,https://leetcode.com/problems/ugly-number-iii,Ugly Number III,Medium,31.4%,95.5%
1521,https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target,Find a Value of a Mysterious Function Closest to Target,Hard,47.2%,95.5%
1775,https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations,Equal Sum Arrays With Minimum Number of Operations,Medium,54.5%,95.5%
2202,https://leetcode.com/problems/maximize-the-topmost-element-after-k-moves,Maximize the Topmost Element After K Moves,Medium,24.1%,95.5%
2278,https://leetcode.com/problems/percentage-of-letter-in-string,Percentage of Letter in String,Easy,75.2%,95.5%
2317,https://leetcode.com/problems/maximum-xor-after-operations,Maximum XOR After Operations ,Medium,79.8%,95.5%
2997,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-xor-equal-to-k,Minimum Number of Operations to Make Array XOR Equal to K,Medium,85.4%,95.5%
3010,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-i,Divide an Array Into Subarrays With Minimum Cost I,Easy,80.5%,95.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,82.7%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.0%,78.2%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,72.6%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,65.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,65.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,65.5%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.2%,65.5%
1304,https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero,Find N Unique Integers Sum up to Zero,Easy,78.5%,65.5%
258,https://leetcode.com/problems/add-digits,Add Digits,Easy,68.0%,62.5%
2477,https://leetcode.com/problems/minimum-fuel-cost-to-report-to-the-capital,Minimum Fuel Cost to Report to the Capital,Medium,64.4%,62.5%
180,https://leetcode.com/problems/consecutive-numbers,Consecutive Numbers,Medium,48.6%,55.6%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,55.5%
46,https://leetcode.com/problems/permutations,Permutations,Medium,81.8%,55.5%
142,https://leetcode.com/problems/linked-list-cycle-ii,Linked List Cycle II,Medium,57.7%,55.5%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.8%,55.5%
205,https://leetcode.com/problems/isomorphic-strings,Isomorphic Strings,Easy,48.3%,55.5%
1253,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix,Reconstruct a 2-Row Binary Matrix,Medium,47.8%,50.0%
