ID,URL,Title,Difficulty,Acceptance %,Frequency %
2997,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-xor-equal-to-k,Minimum Number of Operations to Make Array XOR Equal to K,Medium,85.4%,100.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,87.5%
1647,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique,Minimum Deletions to Make Character Frequencies Unique,Medium,61.5%,77.6%
258,https://leetcode.com/problems/add-digits,Add Digits,Easy,68.0%,75.0%
2477,https://leetcode.com/problems/minimum-fuel-cost-to-report-to-the-capital,Minimum Fuel Cost to Report to the Capital,Medium,64.4%,75.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,70.6%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,70.6%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.0%,70.6%
1224,https://leetcode.com/problems/maximum-equal-frequency,Maximum Equal Frequency,Hard,38.1%,70.6%
1304,https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero,Find N Unique Integers Sum up to Zero,Easy,78.5%,70.6%
1253,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix,Reconstruct a 2-Row Binary Matrix,Medium,47.8%,62.5%
180,https://leetcode.com/problems/consecutive-numbers,Consecutive Numbers,Medium,48.6%,60.9%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,60.8%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,60.8%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,60.8%
46,https://leetcode.com/problems/permutations,Permutations,Medium,81.8%,60.8%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.2%,60.8%
142,https://leetcode.com/problems/linked-list-cycle-ii,Linked List Cycle II,Medium,57.7%,60.8%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.8%,60.8%
205,https://leetcode.com/problems/isomorphic-strings,Isomorphic Strings,Easy,48.3%,60.8%
1201,https://leetcode.com/problems/ugly-number-iii,Ugly Number III,Medium,31.4%,60.8%
1521,https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target,Find a Value of a Mysterious Function Closest to Target,Hard,47.2%,60.8%
1775,https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations,Equal Sum Arrays With Minimum Number of Operations,Medium,54.5%,60.8%
2202,https://leetcode.com/problems/maximize-the-topmost-element-after-k-moves,Maximize the Topmost Element After K Moves,Medium,24.1%,60.8%
2278,https://leetcode.com/problems/percentage-of-letter-in-string,Percentage of Letter in String,Easy,75.2%,60.8%
2317,https://leetcode.com/problems/maximum-xor-after-operations,Maximum XOR After Operations ,Medium,79.8%,60.8%
3010,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-i,Divide an Array Into Subarrays With Minimum Cost I,Easy,80.5%,60.8%
3013,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-ii,Divide an Array Into Subarrays With Minimum Cost II,Hard,54.7%,60.8%
