ID,URL,Title,Difficulty,Acceptance %,Frequency %
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,64.2%,100.0%
243,https://leetcode.com/problems/shortest-word-distance,"Shortest Word Distance",Easy,66.3%,84.0%
1024,https://leetcode.com/problems/video-stitching,"Video Stitching",Medium,52.7%,82.5%
1610,https://leetcode.com/problems/maximum-number-of-visible-points,"Maximum Number of Visible Points",Hard,38.1%,80.8%
49,https://leetcode.com/problems/group-anagrams,"Group Anagrams",Medium,72.5%,79.0%
207,https://leetcode.com/problems/course-schedule,"Course Schedule",Medium,51.3%,79.0%
475,https://leetcode.com/problems/heaters,"Heaters",Medium,41.8%,79.0%
739,https://leetcode.com/problems/daily-temperatures,"Daily Temperatures",Medium,68.6%,79.0%
210,https://leetcode.com/problems/course-schedule-ii,"Course Schedule II",Medium,55.4%,77.0%
295,https://leetcode.com/problems/find-median-from-data-stream,"Find Median from Data Stream",Hard,54.4%,74.8%
827,https://leetcode.com/problems/making-a-large-island,"Making A Large Island",Hard,56.5%,74.8%
1268,https://leetcode.com/problems/search-suggestions-system,"Search Suggestions System",Medium,65.2%,74.8%
244,https://leetcode.com/problems/shortest-word-distance-ii,"Shortest Word Distance II",Medium,62.9%,69.5%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,66.3%
54,https://leetcode.com/problems/spiral-matrix,"Spiral Matrix",Medium,56.6%,62.5%
227,https://leetcode.com/problems/basic-calculator-ii,"Basic Calculator II",Medium,45.9%,62.5%
289,https://leetcode.com/problems/game-of-life,"Game of Life",Medium,72.5%,62.5%
818,https://leetcode.com/problems/race-car,"Race Car",Hard,44.7%,62.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,"Merge k Sorted Lists",Hard,59.4%,57.8%
253,https://leetcode.com/problems/meeting-rooms-ii,"Meeting Rooms II",Medium,52.6%,57.8%
443,https://leetcode.com/problems/string-compression,"String Compression",Medium,59.9%,57.8%
838,https://leetcode.com/problems/push-dominoes,"Push Dominoes",Medium,63.0%,57.8%
981,https://leetcode.com/problems/time-based-key-value-store,"Time Based Key-Value Store",Medium,49.9%,57.8%
2244,https://leetcode.com/problems/minimum-rounds-to-complete-all-tasks,"Minimum Rounds to Complete All Tasks",Medium,63.3%,57.8%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,51.8%
150,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Evaluate Reverse Polish Notation",Medium,57.6%,51.8%
287,https://leetcode.com/problems/find-the-duplicate-number,"Find the Duplicate Number",Medium,64.2%,51.8%
529,https://leetcode.com/problems/minesweeper,"Minesweeper",Medium,68.7%,51.8%
647,https://leetcode.com/problems/palindromic-substrings,"Palindromic Substrings",Medium,72.7%,51.8%
708,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list,"Insert into a Sorted Circular Linked List",Medium,38.5%,51.8%
721,https://leetcode.com/problems/accounts-merge,"Accounts Merge",Medium,61.2%,51.8%
909,https://leetcode.com/problems/snakes-and-ladders,"Snakes and Ladders",Medium,48.1%,51.8%
951,https://leetcode.com/problems/flip-equivalent-binary-trees,"Flip Equivalent Binary Trees",Medium,69.5%,51.8%
953,https://leetcode.com/problems/verifying-an-alien-dictionary,"Verifying an Alien Dictionary",Easy,55.9%,51.8%
1828,https://leetcode.com/problems/queries-on-number-of-points-inside-a-circle,"Queries on Number of Points Inside a Circle",Medium,86.8%,51.8%
224,https://leetcode.com/problems/basic-calculator,"Basic Calculator",Hard,45.7%,50.0%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,43.4%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,"Search in Rotated Sorted Array",Medium,44.4%,43.4%
48,https://leetcode.com/problems/rotate-image,"Rotate Image",Medium,79.6%,43.4%
114,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Flatten Binary Tree to Linked List",Medium,70.6%,43.4%
130,https://leetcode.com/problems/surrounded-regions,"Surrounded Regions",Medium,45.1%,43.4%
140,https://leetcode.com/problems/word-break-ii,"Word Break II",Hard,55.4%,43.4%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,43.4%
283,https://leetcode.com/problems/move-zeroes,"Move Zeroes",Easy,63.8%,43.4%
314,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Binary Tree Vertical Order Traversal",Medium,57.8%,43.4%
694,https://leetcode.com/problems/number-of-distinct-islands,"Number of Distinct Islands",Medium,62.8%,43.4%
695,https://leetcode.com/problems/max-area-of-island,"Max Area of Island",Medium,73.9%,43.4%
701,https://leetcode.com/problems/insert-into-a-binary-search-tree,"Insert into a Binary Search Tree",Medium,73.4%,43.4%
994,https://leetcode.com/problems/rotting-oranges,"Rotting Oranges",Medium,58.5%,43.4%
1091,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Shortest Path in Binary Matrix",Medium,51.4%,43.4%
1762,https://leetcode.com/problems/buildings-with-an-ocean-view,"Buildings With an Ocean View",Medium,80.9%,43.4%
