ID,URL,Title,Difficulty,Acceptance %,Frequency %
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,100.0%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,68.6%,100.0%
1024,https://leetcode.com/problems/video-stitching,Video Stitching,Medium,52.0%,100.0%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.4%,94.0%
475,https://leetcode.com/problems/heaters,Heaters,Medium,41.8%,94.0%
838,https://leetcode.com/problems/push-dominoes,Push Dominoes,Medium,63.0%,86.3%
140,https://leetcode.com/problems/word-break-ii,Word Break II,Hard,55.4%,75.5%
243,https://leetcode.com/problems/shortest-word-distance,Shortest Word Distance,Easy,66.3%,75.5%
314,https://leetcode.com/problems/binary-tree-vertical-order-traversal,Binary Tree Vertical Order Traversal,Medium,57.8%,75.5%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.9%,75.5%
701,https://leetcode.com/problems/insert-into-a-binary-search-tree,Insert into a Binary Search Tree,Medium,73.4%,75.5%
1610,https://leetcode.com/problems/maximum-number-of-visible-points,Maximum Number of Visible Points,Hard,38.1%,75.5%
1828,https://leetcode.com/problems/queries-on-number-of-points-inside-a-circle,Queries on Number of Points Inside a Circle,Medium,86.8%,75.5%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,49.4%,75.0%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,55.2%,75.0%
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.1%,75.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,57.0%,62.5%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,54.2%,62.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,62.5%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,53.4%,62.5%
529,https://leetcode.com/problems/minesweeper,Minesweeper,Medium,68.2%,62.5%
694,https://leetcode.com/problems/number-of-distinct-islands,Number of Distinct Islands,Medium,62.3%,62.5%
818,https://leetcode.com/problems/race-car,Race Car,Hard,44.2%,62.5%
