ID,URL,Title,Difficulty,Acceptance %,Frequency %
383,https://leetcode.com/problems/ransom-note,Ransom Note,Easy,66.1%,100.0%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,68.6%,100.0%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,55.2%,100.0%
1610,https://leetcode.com/problems/maximum-number-of-visible-points,Maximum Number of Visible Points,Hard,38.3%,100.0%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.9%,92.2%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,57.0%,87.5%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,49.4%,87.5%
818,https://leetcode.com/problems/race-car,Race Car,Hard,44.2%,87.5%
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.1%,87.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,87.1%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.4%,87.1%
475,https://leetcode.com/problems/heaters,Heaters,Medium,41.8%,87.1%
94,https://leetcode.com/problems/binary-tree-inorder-traversal,Binary Tree Inorder Traversal,Easy,80.2%,81.2%
110,https://leetcode.com/problems/balanced-binary-tree,Balanced Binary Tree,Easy,58.6%,81.2%
701,https://leetcode.com/problems/insert-into-a-binary-search-tree,Insert into a Binary Search Tree,Medium,73.5%,81.2%
1087,https://leetcode.com/problems/brace-expansion,Brace Expansion,Medium,66.9%,81.2%
1091,https://leetcode.com/problems/shortest-path-in-binary-matrix,Shortest Path in Binary Matrix,Medium,51.7%,81.2%
1762,https://leetcode.com/problems/buildings-with-an-ocean-view,Buildings With an Ocean View,Medium,80.9%,81.2%
314,https://leetcode.com/problems/binary-tree-vertical-order-traversal,Binary Tree Vertical Order Traversal,Medium,57.8%,76.9%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.9%,76.9%
1828,https://leetcode.com/problems/queries-on-number-of-points-inside-a-circle,Queries on Number of Points Inside a Circle,Medium,86.8%,73.1%
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,38.5%,69.8%
838,https://leetcode.com/problems/push-dominoes,Push Dominoes,Medium,63.1%,69.8%
1145,https://leetcode.com/problems/binary-tree-coloring-game,Binary Tree Coloring Game,Medium,53.1%,69.8%
2360,https://leetcode.com/problems/longest-cycle-in-a-graph,Longest Cycle in a Graph,Hard,51.1%,69.8%
