ID,URL,Title,Difficulty,Acceptance %,Frequency %
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,100.0%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.7%,84.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,82.8%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,81.0%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,80.5%,81.0%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.4%,79.1%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,76.9%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,76.9%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,76.9%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,53.1%,75.0%
139,https://leetcode.com/problems/word-break,Word Break,Medium,48.4%,75.0%
1606,https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests,Find Servers That Handled Most Number of Requests,Hard,44.3%,75.0%
3522,https://leetcode.com/problems/calculate-score-after-performing-instructions,Calculate Score After Performing Instructions,Medium,55.8%,75.0%
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,54.2%,71.9%
1146,https://leetcode.com/problems/snapshot-array,Snapshot Array,Medium,36.7%,68.9%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.8%,65.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,65.5%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,48.7%,65.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,65.5%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.6%,65.5%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.8%,65.5%
252,https://leetcode.com/problems/meeting-rooms,Meeting Rooms,Easy,59.4%,65.5%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.3%,65.5%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.3%,65.5%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.9%,65.5%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,62.9%,62.5%
348,https://leetcode.com/problems/design-tic-tac-toe,Design Tic-Tac-Toe,Medium,58.6%,62.5%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,63.8%,62.5%
658,https://leetcode.com/problems/find-k-closest-elements,Find K Closest Elements,Medium,48.8%,62.5%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,71.0%,61.4%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,61.4%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.8%,61.4%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,56.4%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,56.4%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,56.4%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,62.7%,56.4%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,79.6%,56.4%
108,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,Convert Sorted Array to Binary Search Tree,Easy,75.5%,56.4%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,56.4%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.2%,56.4%
309,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,Best Time to Buy and Sell Stock with Cooldown,Medium,62.0%,56.4%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,56.4%
733,https://leetcode.com/problems/flood-fill,Flood Fill,Easy,68.1%,56.4%
