ID,URL,Title,Difficulty,Acceptance %,Frequency %
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,100.0%
347,https://leetcode.com/problems/top-k-frequent-elements,"Top K Frequent Elements",Medium,64.7%,87.5%
54,https://leetcode.com/problems/spiral-matrix,"Spiral Matrix",Medium,56.6%,83.2%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,83.2%
23,https://leetcode.com/problems/merge-k-sorted-lists,"Merge k Sorted Lists",Hard,57.0%,75.0%
88,https://leetcode.com/problems/merge-sorted-array,"Merge Sorted Array",Easy,53.1%,75.0%
188,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Best Time to Buy and Sell Stock IV",Hard,47.4%,75.0%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,62.5%,75.0%
238,https://leetcode.com/problems/product-of-array-except-self,"Product of Array Except Self",Medium,67.9%,75.0%
362,https://leetcode.com/problems/design-hit-counter,"Design Hit Counter",Medium,69.2%,75.0%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Find First and Last Position of Element in Sorted Array",Medium,48.7%,73.3%
72,https://leetcode.com/problems/edit-distance,"Edit Distance",Medium,60.5%,73.3%
206,https://leetcode.com/problems/reverse-linked-list,"Reverse Linked List",Easy,80.5%,73.3%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,"Insert Delete GetRandom O(1)",Medium,55.3%,73.3%
