ID,URL,Title,Difficulty,Acceptance %,Frequency %
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,100.0%
1606,https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests,Find Servers That Handled Most Number of Requests,Hard,44.3%,87.5%
3522,https://leetcode.com/problems/calculate-score-after-performing-instructions,Calculate Score After Performing Instructions,Medium,55.8%,87.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,82.7%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,82.7%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.7%,82.7%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.4%,79.6%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.8%,76.0%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,80.5%,76.0%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,56.6%,75.0%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,64.7%,75.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,71.9%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,48.7%,71.9%
252,https://leetcode.com/problems/meeting-rooms,Meeting Rooms,Easy,59.4%,71.9%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.3%,71.9%
1146,https://leetcode.com/problems/snapshot-array,Snapshot Array,Medium,36.7%,71.9%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,79.6%,66.7%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.8%,66.7%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,62.4%,62.5%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,53.1%,62.5%
123,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,Hard,51.4%,62.5%
188,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,Best Time to Buy and Sell Stock IV,Hard,47.4%,62.5%
348,https://leetcode.com/problems/design-tic-tac-toe,Design Tic-Tac-Toe,Medium,58.6%,62.5%
714,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,Best Time to Buy and Sell Stock with Transaction Fee,Medium,70.7%,62.5%
733,https://leetcode.com/problems/flood-fill,Flood Fill,Easy,66.7%,62.5%
855,https://leetcode.com/problems/exam-room,Exam Room,Medium,42.9%,62.5%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.4%,62.5%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.6%,60.1%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.2%,60.1%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,60.1%
428,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,Serialize and Deserialize N-ary Tree,Hard,68.7%,60.1%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,60.1%
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,54.2%,60.1%
15,https://leetcode.com/problems/3sum,3Sum,Medium,39.1%,54.8%
477,https://leetcode.com/problems/total-hamming-distance,Total Hamming Distance,Medium,54.9%,54.8%
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,63.1%,54.8%
863,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,All Nodes Distance K in Binary Tree,Medium,67.6%,54.8%
889,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal,Construct Binary Tree from Preorder and Postorder Traversal,Medium,78.0%,54.8%
2633,https://leetcode.com/problems/convert-object-to-json-string,Convert Object to JSON String,Medium,78.1%,54.8%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,50.9%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,50.9%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,50.9%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,65.9%,50.9%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,50.9%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,50.9%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,50.9%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,60.5%,50.9%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,50.9%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,71.0%,50.9%
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,56.2%,50.9%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.8%,50.9%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,50.9%
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,69.4%,50.9%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.8%,50.9%
309,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,Best Time to Buy and Sell Stock with Cooldown,Medium,62.0%,50.9%
314,https://leetcode.com/problems/binary-tree-vertical-order-traversal,Binary Tree Vertical Order Traversal,Medium,57.8%,50.9%
328,https://leetcode.com/problems/odd-even-linked-list,Odd Even Linked List,Medium,62.5%,50.9%
567,https://leetcode.com/problems/permutation-in-string,Permutation in String,Medium,48.7%,50.9%
635,https://leetcode.com/problems/design-log-storage-system,Design Log Storage System,Medium,59.6%,50.9%
931,https://leetcode.com/problems/minimum-falling-path-sum,Minimum Falling Path Sum,Medium,60.8%,50.9%
1087,https://leetcode.com/problems/brace-expansion,Brace Expansion,Medium,66.9%,50.9%
1197,https://leetcode.com/problems/minimum-knight-moves,Minimum Knight Moves,Medium,41.9%,50.9%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,50.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.0%,50.0%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,45.1%,50.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.3%,50.0%
46,https://leetcode.com/problems/permutations,Permutations,Medium,80.8%,50.0%
57,https://leetcode.com/problems/insert-interval,Insert Interval,Medium,43.6%,50.0%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,43.1%,50.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,50.0%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.1%,50.0%
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,70.3%,50.0%
269,https://leetcode.com/problems/alien-dictionary,Alien Dictionary,Hard,36.7%,50.0%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,53.4%,50.0%
341,https://leetcode.com/problems/flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,65.3%,50.0%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,58.3%,50.0%
622,https://leetcode.com/problems/design-circular-queue,Design Circular Queue,Medium,52.8%,50.0%
658,https://leetcode.com/problems/find-k-closest-elements,Find K Closest Elements,Medium,48.8%,50.0%
706,https://leetcode.com/problems/design-hashmap,Design HashMap,Easy,65.9%,50.0%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,56.8%,50.0%
