ID,URL,Title,Difficulty,Acceptance %,Frequency %
317,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Shortest Distance from All Buildings",Hard,44.9%,100.0%
609,https://leetcode.com/problems/find-duplicate-file-in-system,"Find Duplicate File in System",Medium,67.5%,74.9%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Find First and Last Position of Element in Sorted Array",Medium,48.7%,72.8%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,67.6%
296,https://leetcode.com/problems/best-meeting-point,"Best Meeting Point",Hard,61.4%,67.6%
529,https://leetcode.com/problems/minesweeper,"Minesweeper",Medium,68.7%,64.3%
304,https://leetcode.com/problems/range-sum-query-2d-immutable,"Range Sum Query 2D - Immutable",Medium,56.7%,62.5%
706,https://leetcode.com/problems/design-hashmap,"Design HashMap",Easy,65.9%,62.5%
1610,https://leetcode.com/problems/maximum-number-of-visible-points,"Maximum Number of Visible Points",Hard,37.7%,62.5%
1914,https://leetcode.com/problems/cyclically-rotating-a-grid,"Cyclically Rotating a Grid",Medium,50.6%,62.5%
527,https://leetcode.com/problems/word-abbreviation,"Word Abbreviation",Hard,62.7%,55.0%
622,https://leetcode.com/problems/design-circular-queue,"Design Circular Queue",Medium,54.4%,55.0%
289,https://leetcode.com/problems/game-of-life,"Game of Life",Medium,72.5%,47.7%
1091,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Shortest Path in Binary Matrix",Medium,51.4%,47.7%
