ID,URL,Title,Difficulty,Acceptance %,Frequency %
1366,https://leetcode.com/problems/rank-teams-by-votes,Rank Teams by Votes,Medium,60.1%,100.0%
2034,https://leetcode.com/problems/stock-price-fluctuation,Stock Price Fluctuation ,Medium,49.0%,93.9%
432,https://leetcode.com/problems/all-oone-data-structure,All O'one Data Structure,Hard,44.2%,91.4%
353,https://leetcode.com/problems/design-snake-game,Design Snake Game,Medium,40.0%,89.7%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,81.3%
2933,https://leetcode.com/problems/high-access-employees,High-Access Employees,Medium,47.4%,74.9%
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,69.1%,73.0%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,69.5%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.2%,63.7%
2639,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,Find the Width of Columns of a Grid,Easy,70.4%,63.7%
2959,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,Number of Possible Sets of Closing Branches,Hard,50.8%,63.7%
741,https://leetcode.com/problems/cherry-pickup,Cherry Pickup,Hard,38.0%,62.5%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,50.9%,61.9%
1307,https://leetcode.com/problems/verbal-arithmetic-puzzle,Verbal Arithmetic Puzzle,Hard,34.8%,61.9%
2577,https://leetcode.com/problems/minimum-time-to-visit-a-cell-in-a-grid,Minimum Time to Visit a Cell In a Grid,Hard,56.3%,61.9%
2598,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations,Smallest Missing Non-negative Integer After Operations,Medium,56.0%,61.9%
2948,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,Make Lexicographically Smallest Array by Swapping Elements,Medium,60.2%,61.9%
2975,https://leetcode.com/problems/maximum-square-area-by-removing-fences-from-a-field,Maximum Square Area by Removing Fences From a Field,Medium,49.4%,61.9%
2976,https://leetcode.com/problems/minimum-cost-to-convert-string-i,Minimum Cost to Convert String I,Medium,63.2%,61.9%
2977,https://leetcode.com/problems/minimum-cost-to-convert-string-ii,Minimum Cost to Convert String II,Hard,59.6%,61.9%
3000,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,Maximum Area of Longest Diagonal Rectangle,Easy,45.9%,61.9%
3026,https://leetcode.com/problems/maximum-good-subarray-sum,Maximum Good Subarray Sum,Medium,21.7%,61.9%
1676,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iv,Lowest Common Ancestor of a Binary Tree IV,Medium,79.6%,60.0%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.8%,55.3%
2039,https://leetcode.com/problems/the-time-when-the-network-becomes-idle,The Time When the Network Becomes Idle,Medium,55.5%,55.3%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.3%,52.4%
911,https://leetcode.com/problems/online-election,Online Election,Medium,51.9%,50.0%
2851,https://leetcode.com/problems/string-transformation,String Transformation,Hard,25.5%,50.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,49.0%
605,https://leetcode.com/problems/can-place-flowers,Can Place Flowers,Easy,29.1%,49.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,44.8%
354,https://leetcode.com/problems/russian-doll-envelopes,Russian Doll Envelopes,Hard,37.8%,44.8%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.9%,44.8%
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,63.0%,44.8%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,39.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,39.5%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,42.7%,39.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,39.5%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,39.5%
177,https://leetcode.com/problems/nth-highest-salary,Nth Highest Salary,Medium,39.1%,39.5%
1010,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,Pairs of Songs With Total Durations Divisible by 60,Medium,53.5%,39.5%
1166,https://leetcode.com/problems/design-file-system,Design File System,Medium,65.1%,39.5%
1797,https://leetcode.com/problems/design-authentication-manager,Design Authentication Manager,Medium,58.5%,39.5%
1970,https://leetcode.com/problems/last-day-where-you-can-still-cross,Last Day Where You Can Still Cross,Hard,68.7%,39.5%
2561,https://leetcode.com/problems/rearranging-fruits,Rearranging Fruits,Hard,57.3%,39.5%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,68.8%,37.5%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,53.1%,37.5%
348,https://leetcode.com/problems/design-tic-tac-toe,Design Tic-Tac-Toe,Medium,58.6%,37.5%
1220,https://leetcode.com/problems/count-vowels-permutation,Count Vowels Permutation,Hard,61.5%,37.5%
1297,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,Maximum Number of Occurrences of a Substring,Medium,53.6%,37.5%
1598,https://leetcode.com/problems/crawler-log-folder,Crawler Log Folder,Easy,71.6%,37.5%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,45.1%,32.0%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,48.7%,32.0%
44,https://leetcode.com/problems/wildcard-matching,Wildcard Matching,Hard,31.8%,32.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,32.0%
211,https://leetcode.com/problems/design-add-and-search-words-data-structure,Design Add and Search Words Data Structure,Medium,48.4%,32.0%
229,https://leetcode.com/problems/majority-element-ii,Majority Element II,Medium,56.1%,32.0%
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,60.6%,32.0%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.3%,32.0%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.7%,32.0%
658,https://leetcode.com/problems/find-k-closest-elements,Find K Closest Elements,Medium,49.6%,32.0%
881,https://leetcode.com/problems/boats-to-save-people,Boats to Save People,Medium,61.7%,32.0%
956,https://leetcode.com/problems/tallest-billboard,Tallest Billboard,Hard,51.8%,32.0%
1644,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-ii,Lowest Common Ancestor of a Binary Tree II,Medium,69.6%,32.0%
1650,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,Lowest Common Ancestor of a Binary Tree III,Medium,83.0%,32.0%
2353,https://leetcode.com/problems/design-a-food-rating-system,Design a Food Rating System,Medium,52.8%,32.0%
2484,https://leetcode.com/problems/count-palindromic-subsequences,Count Palindromic Subsequences,Hard,41.1%,32.0%
2559,https://leetcode.com/problems/count-vowel-strings-in-ranges,Count Vowel Strings in Ranges,Medium,67.8%,32.0%
2939,https://leetcode.com/problems/maximum-xor-product,Maximum Xor Product,Medium,29.7%,32.0%
3649,https://leetcode.com/problems/number-of-perfect-pairs,Number of Perfect Pairs,Medium,33.9%,32.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,57.9%,25.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,37.2%,25.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.3%,25.0%
63,https://leetcode.com/problems/unique-paths-ii,Unique Paths II,Medium,43.3%,25.0%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,66.8%,25.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,46.7%,25.0%
455,https://leetcode.com/problems/assign-cookies,Assign Cookies,Easy,54.0%,25.0%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,59.2%,25.0%
703,https://leetcode.com/problems/kth-largest-element-in-a-stream,Kth Largest Element in a Stream,Easy,60.0%,25.0%
1160,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,Find Words That Can Be Formed by Characters,Easy,71.1%,25.0%
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.1%,25.0%
2065,https://leetcode.com/problems/maximum-path-quality-of-a-graph,Maximum Path Quality of a Graph,Hard,59.8%,25.0%
2235,https://leetcode.com/problems/add-two-integers,Add Two Integers,Easy,88.1%,25.0%
