ID,URL,Title,Difficulty,Acceptance %,Frequency %
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,100.0%
239,https://leetcode.com/problems/sliding-window-maximum,"Sliding Window Maximum",Hard,48.7%,78.3%
1610,https://leetcode.com/problems/maximum-number-of-visible-points,"Maximum Number of Visible Points",Hard,38.1%,78.3%
210,https://leetcode.com/problems/course-schedule-ii,"Course Schedule II",Medium,55.4%,72.1%
212,https://leetcode.com/problems/word-search-ii,"Word Search II",Hard,38.4%,72.1%
253,https://leetcode.com/problems/meeting-rooms-ii,"Meeting Rooms II",Medium,52.6%,63.5%
305,https://leetcode.com/problems/number-of-islands-ii,"Number of Islands II",Hard,40.5%,63.5%
341,https://leetcode.com/problems/flatten-nested-list-iterator,"Flatten Nested List Iterator",Medium,65.7%,63.5%
488,https://leetcode.com/problems/zuma-game,"Zuma Game",Hard,29.8%,63.5%
543,https://leetcode.com/problems/diameter-of-binary-tree,"Diameter of Binary Tree",Easy,65.4%,63.5%
694,https://leetcode.com/problems/number-of-distinct-islands,"Number of Distinct Islands",Medium,62.8%,63.5%
