ID,URL,Title,Difficulty,Acceptance %,Frequency %
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,100.0%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,38.4%,78.4%
305,https://leetcode.com/problems/number-of-islands-ii,Number of Islands II,Hard,40.5%,69.4%
341,https://leetcode.com/problems/flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,65.7%,69.4%
543,https://leetcode.com/problems/diameter-of-binary-tree,Diameter of Binary Tree,Easy,65.4%,69.4%
694,https://leetcode.com/problems/number-of-distinct-islands,Number of Distinct Islands,Medium,62.8%,69.4%
1610,https://leetcode.com/problems/maximum-number-of-visible-points,Maximum Number of Visible Points,Hard,38.1%,69.4%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.7%,67.3%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.9%,65.6%
488,https://leetcode.com/problems/zuma-game,Zuma Game,Hard,29.2%,64.1%
