ID,URL,Title,Difficulty,Acceptance %,Frequency %
3474,https://leetcode.com/problems/lexicographically-smallest-generated-string,Lexicographically Smallest Generated String,Hard,53.5%,100.0%
2833,https://leetcode.com/problems/furthest-point-from-origin,Furthest Point From Origin,Easy,71.3%,89.5%
2961,https://leetcode.com/problems/double-modular-exponentiation,Double Modular Exponentiation,Medium,48.0%,89.5%
3070,https://leetcode.com/problems/count-submatrices-with-top-left-element-and-sum-less-than-k,Count Submatrices with Top-Left Element and Sum Less Than k,Medium,74.8%,87.5%
3080,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries,Mark Elements on Array by Performing Queries,Medium,49.3%,87.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,37.2%,75.0%
205,https://leetcode.com/problems/isomorphic-strings,Isomorphic Strings,Easy,47.0%,75.0%
871,https://leetcode.com/problems/minimum-number-of-refueling-stops,Minimum Number of Refueling Stops,Hard,40.6%,75.0%
2127,https://leetcode.com/problems/maximum-employees-to-be-invited-to-a-meeting,Maximum Employees to Be Invited to a Meeting,Hard,62.0%,75.0%
46,https://leetcode.com/problems/permutations,Permutations,Medium,80.8%,62.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.2%,62.5%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,53.1%,62.5%
234,https://leetcode.com/problems/palindrome-linked-list,Palindrome Linked List,Easy,56.1%,62.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,61.8%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,53.2%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,53.2%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.0%,53.2%
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,56.2%,53.2%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,46.8%,53.2%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,53.2%
386,https://leetcode.com/problems/lexicographical-numbers,Lexicographical Numbers,Medium,76.2%,53.2%
496,https://leetcode.com/problems/next-greater-element-i,Next Greater Element I,Easy,76.0%,53.2%
546,https://leetcode.com/problems/remove-boxes,Remove Boxes,Hard,49.5%,53.2%
763,https://leetcode.com/problems/partition-labels,Partition Labels,Medium,81.9%,53.2%
1482,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets,Minimum Number of Days to Make m Bouquets,Medium,56.4%,53.2%
2241,https://leetcode.com/problems/design-an-atm-machine,Design an ATM Machine,Medium,46.2%,51.9%
