ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,100.0%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,98.8%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,"Insert Delete GetRandom O(1)",Medium,55.3%,96.2%
430,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Flatten a Multilevel Doubly Linked List",Medium,62.8%,91.8%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,56.7%,88.4%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,86.4%
79,https://leetcode.com/problems/word-search,"Word Search",Medium,47.2%,86.4%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,64.2%,84.4%
394,https://leetcode.com/problems/decode-string,"Decode String",Medium,62.5%,84.4%
1396,https://leetcode.com/problems/design-underground-system,"Design Underground System",Medium,74.5%,84.4%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,79.7%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,"Median of Two Sorted Arrays",Hard,46.4%,77.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,"Merge Two Sorted Lists",Easy,68.2%,77.0%
253,https://leetcode.com/problems/meeting-rooms-ii,"Meeting Rooms II",Medium,52.6%,77.0%
2,https://leetcode.com/problems/add-two-numbers,"Add Two Numbers",Medium,48.3%,74.0%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,37.7%,74.0%
399,https://leetcode.com/problems/evaluate-division,"Evaluate Division",Medium,64.1%,74.0%
15,https://leetcode.com/problems/3sum,"3Sum",Medium,38.9%,70.5%
27,https://leetcode.com/problems/remove-element,"Remove Element",Easy,61.7%,70.5%
49,https://leetcode.com/problems/group-anagrams,"Group Anagrams",Medium,72.5%,70.5%
127,https://leetcode.com/problems/word-ladder,"Word Ladder",Hard,45.4%,70.5%
140,https://leetcode.com/problems/word-break-ii,"Word Break II",Hard,55.4%,70.5%
283,https://leetcode.com/problems/move-zeroes,"Move Zeroes",Easy,63.8%,70.5%
1274,https://leetcode.com/problems/number-of-ships-in-a-rectangle,"Number of Ships in a Rectangle",Hard,68.9%,70.5%
1656,https://leetcode.com/problems/design-an-ordered-stream,"Design an Ordered Stream",Easy,82.6%,70.5%
13,https://leetcode.com/problems/roman-to-integer,"Roman to Integer",Easy,66.5%,66.6%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,67.2%,66.6%
70,https://leetcode.com/problems/climbing-stairs,"Climbing Stairs",Easy,54.0%,66.6%
88,https://leetcode.com/problems/merge-sorted-array,"Merge Sorted Array",Easy,54.7%,66.6%
128,https://leetcode.com/problems/longest-consecutive-sequence,"Longest Consecutive Sequence",Medium,47.1%,66.6%
139,https://leetcode.com/problems/word-break,"Word Break",Medium,49.4%,66.6%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,66.6%
234,https://leetcode.com/problems/palindrome-linked-list,"Palindrome Linked List",Easy,57.8%,66.6%
242,https://leetcode.com/problems/valid-anagram,"Valid Anagram",Easy,68.0%,66.6%
387,https://leetcode.com/problems/first-unique-character-in-a-string,"First Unique Character in a String",Easy,65.4%,66.6%
994,https://leetcode.com/problems/rotting-oranges,"Rotting Oranges",Medium,58.5%,66.6%
1169,https://leetcode.com/problems/invalid-transactions,"Invalid Transactions",Medium,32.2%,66.6%
