ID,URL,Title,Difficulty,Acceptance %,Frequency %
2512,https://leetcode.com/problems/reward-top-k-students,Reward Top K Students,Medium,47.0%,100.0%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.7%,90.6%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,70.8%,81.2%
46,https://leetcode.com/problems/permutations,Permutations,Medium,81.8%,81.2%
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,44.5%,81.2%
844,https://leetcode.com/problems/backspace-string-compare,Backspace String Compare,Easy,49.5%,75.0%
1948,https://leetcode.com/problems/delete-duplicate-folders-in-system,Delete Duplicate Folders in System,Hard,77.5%,74.5%
2032,https://leetcode.com/problems/two-out-of-three,Two Out of Three,Easy,77.5%,74.5%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.5%,65.1%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,38.6%,65.1%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,65.1%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,50.2%,65.1%
1034,https://leetcode.com/problems/coloring-a-border,Coloring A Border,Medium,51.2%,65.1%
2146,https://leetcode.com/problems/k-highest-ranked-items-within-a-price-range,K Highest Ranked Items Within a Price Range,Medium,46.6%,65.1%
2159,https://leetcode.com/problems/order-two-columns-independently,Order Two Columns Independently,Medium,61.7%,65.1%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,62.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,62.5%
