ID,URL,Title,Difficulty,Acceptance %,Frequency %
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,100.0%
281,https://leetcode.com/problems/zigzag-iterator,Zigzag Iterator,Medium,66.8%,100.0%
930,https://leetcode.com/problems/binary-subarrays-with-sum,Binary Subarrays With Sum,Medium,69.8%,94.9%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,94.2%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,86.7%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,86.7%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.6%,86.7%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.6%,76.2%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,76.2%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,76.2%
976,https://leetcode.com/problems/largest-perimeter-triangle,Largest Perimeter Triangle,Easy,62.1%,76.2%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,48.0%,76.1%
