ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,100.0%
15,https://leetcode.com/problems/3sum,"3Sum",Medium,38.9%,100.0%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,"Reverse Nodes in k-Group",Hard,65.9%,100.0%
36,https://leetcode.com/problems/valid-sudoku,"Valid Sudoku",Medium,64.4%,100.0%
37,https://leetcode.com/problems/sudoku-solver,"Sudoku Solver",Hard,64.0%,100.0%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,67.2%,100.0%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,49.5%,100.0%
125,https://leetcode.com/problems/valid-palindrome,"Valid Palindrome",Easy,53.2%,100.0%
138,https://leetcode.com/problems/copy-list-with-random-pointer,"Copy List with Random Pointer",Medium,62.7%,100.0%
206,https://leetcode.com/problems/reverse-linked-list,"Reverse Linked List",Easy,80.5%,100.0%
463,https://leetcode.com/problems/island-perimeter,"Island Perimeter",Easy,74.4%,100.0%
