ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,100.0%
2356,https://leetcode.com/problems/number-of-unique-subjects-taught-by-each-teacher,Number of Unique Subjects Taught by Each Teacher,Easy,89.2%,90.5%
3498,https://leetcode.com/problems/reverse-degree-of-a-string,Reverse Degree of a String,Easy,88.7%,90.5%
3005,https://leetcode.com/problems/count-elements-with-maximum-frequency,Count Elements With Maximum Frequency,Easy,79.8%,74.3%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,69.1%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,69.1%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,69.1%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,62.7%,69.1%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,69.1%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,64.3%,69.1%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,69.1%
110,https://leetcode.com/problems/balanced-binary-tree,Balanced Binary Tree,Easy,55.6%,62.5%
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,52.3%,62.5%
177,https://leetcode.com/problems/nth-highest-salary,Nth Highest Salary,Medium,38.1%,62.5%
509,https://leetcode.com/problems/fibonacci-number,Fibonacci Number,Easy,73.1%,62.5%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.5%,62.4%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.2%,62.4%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,46.5%,62.4%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,48.7%,62.4%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,62.4%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.8%,62.4%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.0%,62.4%
626,https://leetcode.com/problems/exchange-seats,Exchange Seats,Medium,74.1%,62.4%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,48.3%,53.0%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.8%,53.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,53.0%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.5%,53.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,53.0%
66,https://leetcode.com/problems/plus-one,Plus One,Easy,49.9%,53.0%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.5%,53.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,53.0%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,46.8%,53.0%
235,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,Lowest Common Ancestor of a Binary Search Tree,Medium,70.5%,53.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,53.0%
349,https://leetcode.com/problems/intersection-of-two-arrays,Intersection of Two Arrays,Easy,77.7%,53.0%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,53.0%
1405,https://leetcode.com/problems/longest-happy-string,Longest Happy String,Medium,65.5%,53.0%
1877,https://leetcode.com/problems/minimize-maximum-pair-sum-in-array,Minimize Maximum Pair Sum in Array,Medium,83.3%,53.0%
2677,https://leetcode.com/problems/chunk-array,Chunk Array,Easy,84.5%,53.0%
