ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,100.0%
3498,https://leetcode.com/problems/reverse-degree-of-a-string,"Reverse Degree of a String",Easy,88.7%,97.7%
3005,https://leetcode.com/problems/count-elements-with-maximum-frequency,"Count Elements With Maximum Frequency",Easy,79.8%,80.8%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,56.7%,75.3%
283,https://leetcode.com/problems/move-zeroes,"Move Zeroes",Easy,63.8%,75.3%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,68.3%
9,https://leetcode.com/problems/palindrome-number,"Palindrome Number",Easy,60.5%,68.3%
14,https://leetcode.com/problems/longest-common-prefix,"Longest Common Prefix",Easy,47.4%,68.3%
21,https://leetcode.com/problems/merge-two-sorted-lists,"Merge Two Sorted Lists",Easy,68.2%,68.3%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Remove Duplicates from Sorted Array",Easy,62.7%,68.3%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Find the Index of the First Occurrence in a String",Easy,46.5%,68.3%
189,https://leetcode.com/problems/rotate-array,"Rotate Array",Medium,44.8%,68.3%
626,https://leetcode.com/problems/exchange-seats,"Exchange Seats",Medium,74.1%,68.3%
177,https://leetcode.com/problems/nth-highest-salary,"Nth Highest Salary",Medium,38.1%,62.5%
509,https://leetcode.com/problems/fibonacci-number,"Fibonacci Number",Easy,73.1%,62.5%
2,https://leetcode.com/problems/add-two-numbers,"Add Two Numbers",Medium,48.3%,58.5%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,"Median of Two Sorted Arrays",Hard,46.4%,58.5%
7,https://leetcode.com/problems/reverse-integer,"Reverse Integer",Medium,31.8%,58.5%
13,https://leetcode.com/problems/roman-to-integer,"Roman to Integer",Easy,66.5%,58.5%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Find First and Last Position of Element in Sorted Array",Medium,48.7%,58.5%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,67.2%,58.5%
75,https://leetcode.com/problems/sort-colors,"Sort Colors",Medium,69.5%,58.5%
128,https://leetcode.com/problems/longest-consecutive-sequence,"Longest Consecutive Sequence",Medium,47.1%,58.5%
176,https://leetcode.com/problems/second-highest-salary,"Second Highest Salary",Medium,46.8%,58.5%
242,https://leetcode.com/problems/valid-anagram,"Valid Anagram",Easy,68.0%,58.5%
322,https://leetcode.com/problems/coin-change,"Coin Change",Medium,48.3%,58.5%
349,https://leetcode.com/problems/intersection-of-two-arrays,"Intersection of Two Arrays",Easy,77.7%,58.5%
560,https://leetcode.com/problems/subarray-sum-equals-k,"Subarray Sum Equals K",Medium,47.2%,58.5%
1405,https://leetcode.com/problems/longest-happy-string,"Longest Happy String",Medium,65.5%,58.5%
2356,https://leetcode.com/problems/number-of-unique-subjects-taught-by-each-teacher,"Number of Unique Subjects Taught by Each Teacher",Easy,89.2%,58.5%
