ID,URL,Title,Difficulty,Acceptance %,Frequency %
2043,https://leetcode.com/problems/simple-bank-system,"Simple Bank System",Medium,69.7%,100.0%
54,https://leetcode.com/problems/spiral-matrix,"Spiral Matrix",Medium,56.6%,89.5%
68,https://leetcode.com/problems/text-justification,"Text Justification",Hard,50.9%,88.8%
3161,https://leetcode.com/problems/block-placement-queries,"Block Placement Queries",Hard,18.5%,88.0%
2468,https://leetcode.com/problems/split-message-based-on-limit,"Split Message Based on Limit",Hard,42.4%,87.5%
3071,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Minimum Operations to Write the Letter Y on a Grid",Medium,64.5%,84.5%
723,https://leetcode.com/problems/candy-crush,"Candy Crush",Medium,77.4%,77.9%
2768,https://leetcode.com/problems/number-of-black-blocks,"Number of Black Blocks",Medium,41.7%,75.1%
71,https://leetcode.com/problems/simplify-path,"Simplify Path",Medium,50.4%,73.5%
48,https://leetcode.com/problems/rotate-image,"Rotate Image",Medium,79.6%,71.8%
3043,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Find the Length of the Longest Common Prefix",Medium,57.1%,71.8%
1438,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit",Medium,57.6%,69.9%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,"Largest Rectangle in Histogram",Hard,49.7%,67.9%
2169,https://leetcode.com/problems/count-operations-to-obtain-zero,"Count Operations to Obtain Zero",Easy,79.8%,67.9%
1861,https://leetcode.com/problems/rotating-the-box,"Rotating the Box",Medium,79.2%,62.9%
79,https://leetcode.com/problems/word-search,"Word Search",Medium,45.4%,62.5%
212,https://leetcode.com/problems/word-search-ii,"Word Search II",Hard,37.4%,62.5%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,64.2%,59.9%
3045,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii,"Count Prefix and Suffix Pairs II",Hard,28.2%,59.9%
2,https://leetcode.com/problems/add-two-numbers,"Add Two Numbers",Medium,48.3%,56.3%
9,https://leetcode.com/problems/palindrome-number,"Palindrome Number",Easy,60.5%,56.3%
11,https://leetcode.com/problems/container-with-most-water,"Container With Most Water",Medium,59.9%,56.3%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,56.7%,56.3%
257,https://leetcode.com/problems/binary-tree-paths,"Binary Tree Paths",Easy,68.5%,56.3%
