ID,URL,Title,Difficulty,Acceptance %,Frequency %
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,54.4%,100.0%
1801,https://leetcode.com/problems/number-of-orders-in-the-backlog,Number of Orders in the Backlog,Medium,53.9%,100.0%
2484,https://leetcode.com/problems/count-palindromic-subsequences,Count Palindromic Subsequences,Hard,39.4%,100.0%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,45.4%,94.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,87.5%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,47.7%,87.5%
647,https://leetcode.com/problems/palindromic-substrings,Palindromic Substrings,Medium,71.8%,87.5%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,50.2%,86.8%
150,https://leetcode.com/problems/evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,Medium,57.6%,86.2%
348,https://leetcode.com/problems/design-tic-tac-toe,Design Tic-Tac-Toe,Medium,58.8%,86.2%
588,https://leetcode.com/problems/design-in-memory-file-system,Design In-Memory File System,Hard,48.3%,76.3%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,58.0%,75.3%
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,67.6%,75.3%
1244,https://leetcode.com/problems/design-a-leaderboard,Design A Leaderboard,Medium,68.1%,75.3%
2050,https://leetcode.com/problems/parallel-courses-iii,Parallel Courses III,Hard,66.8%,75.3%
3484,https://leetcode.com/problems/design-spreadsheet,Design Spreadsheet,Medium,74.2%,75.3%
399,https://leetcode.com/problems/evaluate-division,Evaluate Division,Medium,63.2%,75.0%
759,https://leetcode.com/problems/employee-free-time,Employee Free Time,Hard,72.6%,75.0%
1229,https://leetcode.com/problems/meeting-scheduler,Meeting Scheduler,Medium,55.2%,75.0%
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,61.9%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,62.5%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,41.3%,62.5%
287,https://leetcode.com/problems/find-the-duplicate-number,Find the Duplicate Number,Medium,63.0%,62.5%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.0%,62.5%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,46.8%,62.5%
1606,https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests,Find Servers That Handled Most Number of Requests,Hard,44.3%,62.5%
