ID,URL,Title,Difficulty,Acceptance %,Frequency %
622,https://leetcode.com/problems/design-circular-queue,Design Circular Queue,Medium,54.4%,100.0%
780,https://leetcode.com/problems/reaching-points,Reaching Points,Hard,34.3%,85.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,83.6%
1381,https://leetcode.com/problems/design-a-stack-with-increment-operation,Design a Stack With Increment Operation,Medium,79.9%,82.1%
18,https://leetcode.com/problems/4sum,4Sum,Medium,40.5%,74.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,72.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,65.6%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,65.6%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.8%,61.4%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.7%,61.4%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,56.0%
289,https://leetcode.com/problems/game-of-life,Game of Life,Medium,71.5%,50.0%
412,https://leetcode.com/problems/fizz-buzz,Fizz Buzz,Easy,74.5%,50.0%
