ID,URL,Title,Difficulty,Acceptance %,Frequency %
622,https://leetcode.com/problems/design-circular-queue,Design Circular Queue,Medium,54.4%,100.0%
780,https://leetcode.com/problems/reaching-points,Reaching Points,Hard,34.3%,92.9%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,91.4%
18,https://leetcode.com/problems/4sum,4Sum,Medium,40.5%,81.7%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,79.0%
1381,https://leetcode.com/problems/design-a-stack-with-increment-operation,Design a Stack With Increment Operation,Medium,79.9%,79.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,72.2%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.7%,67.8%
289,https://leetcode.com/problems/game-of-life,Game of Life,Medium,71.5%,62.5%
412,https://leetcode.com/problems/fizz-buzz,Fizz Buzz,Easy,74.5%,62.5%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,52.2%,59.6%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.8%,53.9%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.8%,52.2%
