ID,URL,Title,Difficulty,Acceptance %,Frequency %
3392,https://leetcode.com/problems/count-subarrays-of-length-three-with-a-condition,Count Subarrays of Length Three With a Condition,Easy,61.4%,100.0%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.5%,97.6%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,92.0%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,46.8%,84.8%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,80.2%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,45.6%,75.0%
570,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Managers with at Least 5 Direct Reports,Medium,48.9%,75.0%
509,https://leetcode.com/problems/fibonacci-number,Fibonacci Number,Easy,74.1%,74.6%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,74.6%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,67.4%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,67.4%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.8%,67.4%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,67.4%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.0%,67.4%
1068,https://leetcode.com/problems/product-sales-analysis-i,Product Sales Analysis I,Easy,85.7%,67.4%
1148,https://leetcode.com/problems/article-views-i,Article Views I,Easy,76.7%,67.4%
15,https://leetcode.com/problems/3sum,3Sum,Medium,37.2%,62.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,62.5%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.0%,62.5%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,58.2%,62.5%
204,https://leetcode.com/problems/count-primes,Count Primes,Medium,34.9%,62.5%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,48.3%,57.3%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.5%,57.3%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,62.7%,57.3%
35,https://leetcode.com/problems/search-insert-position,Search Insert Position,Easy,51.1%,57.3%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,42.8%,57.3%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,57.3%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.8%,57.3%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.0%,57.3%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.7%,57.3%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.2%,57.3%
181,https://leetcode.com/problems/employees-earning-more-than-their-managers,Employees Earning More Than Their Managers,Easy,73.1%,57.3%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.8%,57.3%
197,https://leetcode.com/problems/rising-temperature,Rising Temperature,Easy,51.2%,57.3%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,57.3%
412,https://leetcode.com/problems/fizz-buzz,Fizz Buzz,Easy,75.4%,57.3%
485,https://leetcode.com/problems/max-consecutive-ones,Max Consecutive Ones,Easy,65.0%,57.3%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,59.2%,57.3%
704,https://leetcode.com/problems/binary-search,Binary Search,Easy,60.8%,57.3%
1280,https://leetcode.com/problems/students-and-examinations,Students and Examinations,Easy,61.1%,57.3%
1295,https://leetcode.com/problems/find-numbers-with-even-number-of-digits,Find Numbers with Even Number of Digits,Easy,79.7%,57.3%
1378,https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier,Replace Employee ID With The Unique Identifier,Easy,83.5%,57.3%
1732,https://leetcode.com/problems/find-the-highest-altitude,Find the Highest Altitude,Easy,83.9%,57.3%
2165,https://leetcode.com/problems/smallest-value-of-the-rearranged-number,Smallest Value of the Rearranged Number,Medium,53.5%,57.3%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.8%,56.9%
136,https://leetcode.com/problems/single-number,Single Number,Easy,77.7%,56.9%
1200,https://leetcode.com/problems/minimum-absolute-difference,Minimum Absolute Difference,Easy,75.1%,56.9%
175,https://leetcode.com/problems/combine-two-tables,Combine Two Tables,Easy,79.7%,55.2%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,60.2%,55.2%
