ID,URL,Title,Difficulty,Acceptance %,Frequency %
981,https://leetcode.com/problems/time-based-key-value-store,"Time Based Key-Value Store",Medium,49.9%,100.0%
36,https://leetcode.com/problems/valid-sudoku,"Valid Sudoku",Medium,64.4%,96.7%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,92.8%
37,https://leetcode.com/problems/sudoku-solver,"Sudoku Solver",Hard,65.4%,90.5%
39,https://leetcode.com/problems/combination-sum,"Combination Sum",Medium,76.4%,73.2%
1797,https://leetcode.com/problems/design-authentication-manager,"Design Authentication Manager",Medium,58.5%,73.2%
10,https://leetcode.com/problems/regular-expression-matching,"Regular Expression Matching",Hard,29.4%,62.5%
44,https://leetcode.com/problems/wildcard-matching,"Wildcard Matching",Hard,30.1%,62.5%
726,https://leetcode.com/problems/number-of-atoms,"Number of Atoms",Hard,65.0%,62.5%
2488,https://leetcode.com/problems/count-subarrays-with-median-k,"Count Subarrays With Median K",Hard,45.7%,62.5%
2604,https://leetcode.com/problems/minimum-time-to-eat-all-grains,"Minimum Time to Eat All Grains",Hard,40.7%,58.4%
2622,https://leetcode.com/problems/cache-with-time-limit,"Cache With Time Limit",Medium,76.1%,58.4%
2627,https://leetcode.com/problems/debounce,"Debounce",Medium,91.7%,58.4%
