ID,URL,Title,Difficulty,Acceptance %,Frequency %
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.9%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,94.1%
271,https://leetcode.com/problems/encode-and-decode-strings,Encode and Decode Strings,Medium,51.5%,90.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,80.9%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,74.2%
977,https://leetcode.com/problems/squares-of-a-sorted-array,Squares of a Sorted Array,Easy,73.7%,74.2%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.9%,74.2%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,64.7%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,64.7%
133,https://leetcode.com/problems/clone-graph,Clone Graph,Medium,65.1%,64.7%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,64.7%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,54.2%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,62.5%
