ID,URL,Title,Difficulty,Acceptance %,Frequency %
751,https://leetcode.com/problems/ip-to-cidr,"IP to CIDR",Medium,53.5%,100.0%
362,https://leetcode.com/problems/design-hit-counter,"Design Hit Counter",Medium,69.7%,97.2%
438,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Find All Anagrams in a String",Medium,53.6%,95.6%
2096,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"Step-By-Step Directions From a Binary Tree Node to Another",Medium,56.4%,90.1%
348,https://leetcode.com/problems/design-tic-tac-toe,"Design Tic-Tac-Toe",Medium,58.8%,87.8%
213,https://leetcode.com/problems/house-robber-ii,"House Robber II",Medium,43.7%,87.5%
981,https://leetcode.com/problems/time-based-key-value-store,"Time Based Key-Value Store",Medium,49.9%,82.5%
900,https://leetcode.com/problems/rle-iterator,"RLE Iterator",Medium,59.2%,79.2%
1293,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Shortest Path in a Grid with Obstacles Elimination",Hard,46.2%,75.4%
1146,https://leetcode.com/problems/snapshot-array,"Snapshot Array",Medium,36.7%,75.0%
567,https://leetcode.com/problems/permutation-in-string,"Permutation in String",Medium,48.7%,64.6%
933,https://leetcode.com/problems/number-of-recent-calls,"Number of Recent Calls",Easy,77.4%,62.5%
198,https://leetcode.com/problems/house-robber,"House Robber",Medium,53.1%,56.0%
994,https://leetcode.com/problems/rotting-oranges,"Rotting Oranges",Medium,58.5%,56.0%
1197,https://leetcode.com/problems/minimum-knight-moves,"Minimum Knight Moves",Medium,41.9%,56.0%
