ID,URL,Title,Difficulty,Acceptance %,Frequency %
211,https://leetcode.com/problems/design-add-and-search-words-data-structure,"Design Add and Search Words Data Structure",Medium,48.4%,100.0%
408,https://leetcode.com/problems/valid-word-abbreviation,"Valid Word Abbreviation",Easy,36.9%,100.0%
819,https://leetcode.com/problems/most-common-word,"Most Common Word",Easy,45.1%,88.5%
198,https://leetcode.com/problems/house-robber,"House Robber",Medium,52.4%,87.5%
322,https://leetcode.com/problems/coin-change,"Coin Change",Medium,46.7%,87.5%
559,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,"Maximum Depth of N-ary Tree",Easy,73.0%,87.5%
622,https://leetcode.com/problems/design-circular-queue,"Design Circular Queue",Medium,52.8%,87.5%
1229,https://leetcode.com/problems/meeting-scheduler,"Meeting Scheduler",Medium,55.2%,79.4%
213,https://leetcode.com/problems/house-robber-ii,"House Robber II",Medium,43.7%,75.0%
1452,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,"People Whose List of Favorite Companies Is Not a Subset of Another List",Medium,59.5%,75.0%
568,https://leetcode.com/problems/maximum-vacation-days,"Maximum Vacation Days",Hard,46.4%,62.5%
