ID,URL,Title,Difficulty,Acceptance %,Frequency %
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,57.0%,100.0%
696,https://leetcode.com/problems/count-binary-substrings,Count Binary Substrings,Easy,70.4%,100.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.0%,87.5%
1328,https://leetcode.com/problems/break-a-palindrome,Break a Palindrome,Medium,51.6%,82.8%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,73.8%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,67.4%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,67.4%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,67.4%
1413,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,Minimum Value to Get Positive Step by Step Sum,Easy,64.7%,67.4%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,58.4%
185,https://leetcode.com/problems/department-top-three-salaries,Department Top Three Salaries,Hard,60.3%,58.4%
196,https://leetcode.com/problems/delete-duplicate-emails,Delete Duplicate Emails,Easy,65.9%,58.4%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.3%,57.3%
