ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,100.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,57.9%,87.5%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,44.1%,87.5%
67,https://leetcode.com/problems/add-binary,Add Binary,Easy,57.9%,80.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.0%,75.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,75.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.2%,75.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,75.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,75.0%
197,https://leetcode.com/problems/rising-temperature,Rising Temperature,Easy,50.2%,75.0%
2594,https://leetcode.com/problems/minimum-time-to-repair-cars,Minimum Time to Repair Cars,Medium,59.9%,75.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.8%,72.4%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.6%,72.4%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,70.5%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,70.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,70.5%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.1%,70.5%
402,https://leetcode.com/problems/remove-k-digits,Remove K Digits,Medium,36.7%,70.5%
581,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,Shortest Unsorted Continuous Subarray,Medium,38.1%,70.5%
