ID,URL,Title,Difficulty,Acceptance %,Frequency %
138,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,Medium,62.7%,100.0%
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,69.4%,100.0%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,56.8%,100.0%
1797,https://leetcode.com/problems/design-authentication-manager,Design Authentication Manager,Medium,58.5%,100.0%
3588,https://leetcode.com/problems/find-maximum-area-of-a-triangle,Find Maximum Area of a Triangle,Medium,29.4%,100.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,93.5%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.3%,93.5%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,67.8%,87.5%
780,https://leetcode.com/problems/reaching-points,Reaching Points,Hard,33.7%,87.5%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,70.8%,85.1%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,85.1%
285,https://leetcode.com/problems/inorder-successor-in-bst,Inorder Successor in BST,Medium,51.2%,85.1%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,54.4%,85.1%
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.2%,85.1%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,55.9%,75.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,37.2%,75.0%
133,https://leetcode.com/problems/clone-graph,Clone Graph,Medium,62.7%,75.0%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,67.9%,75.0%
266,https://leetcode.com/problems/palindrome-permutation,Palindrome Permutation,Easy,68.5%,75.0%
502,https://leetcode.com/problems/ipo,IPO,Hard,53.0%,75.0%
881,https://leetcode.com/problems/boats-to-save-people,Boats to Save People,Medium,60.5%,75.0%
1466,https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero,Reorder Routes to Make All Paths Lead to the City Zero,Medium,65.1%,75.0%
2405,https://leetcode.com/problems/optimal-partition-of-string,Optimal Partition of String,Medium,78.3%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,73.4%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.2%,73.4%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,73.4%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,73.4%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,45.4%,73.4%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,73.4%
171,https://leetcode.com/problems/excel-sheet-column-number,Excel Sheet Column Number,Easy,67.6%,73.4%
211,https://leetcode.com/problems/design-add-and-search-words-data-structure,Design Add and Search Words Data Structure,Medium,48.4%,73.4%
213,https://leetcode.com/problems/house-robber-ii,House Robber II,Medium,44.8%,73.4%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,73.4%
337,https://leetcode.com/problems/house-robber-iii,House Robber III,Medium,55.8%,73.4%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.3%,73.4%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.8%,73.4%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,59.5%,73.4%
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,63.0%,73.4%
726,https://leetcode.com/problems/number-of-atoms,Number of Atoms,Hard,65.1%,73.4%
934,https://leetcode.com/problems/shortest-bridge,Shortest Bridge,Medium,59.4%,73.4%
1368,https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid,Minimum Cost to Make at Least One Valid Path in a Grid,Hard,70.9%,73.4%
1448,https://leetcode.com/problems/count-good-nodes-in-binary-tree,Count Good Nodes in Binary Tree,Medium,73.8%,73.4%
2326,https://leetcode.com/problems/spiral-matrix-iv,Spiral Matrix IV,Medium,82.3%,69.9%
