ID,URL,Title,Difficulty,Acceptance %,Frequency %
286,https://leetcode.com/problems/walls-and-gates,Walls and Gates,Medium,63.9%,100.0%
329,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,Longest Increasing Path in a Matrix,Hard,56.5%,92.8%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,42.2%,92.6%
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.2%,81.6%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.7%,77.1%
1834,https://leetcode.com/problems/single-threaded-cpu,Single-Threaded CPU,Medium,47.6%,77.1%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.9%,74.9%
317,https://leetcode.com/problems/shortest-distance-from-all-buildings,Shortest Distance from All Buildings,Hard,44.9%,72.3%
1166,https://leetcode.com/problems/design-file-system,Design File System,Medium,65.1%,70.9%
1790,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,Check if One String Swap Can Make Strings Equal,Easy,49.5%,69.4%
826,https://leetcode.com/problems/most-profit-assigning-work,Most Profit Assigning Work,Medium,56.2%,68.6%
556,https://leetcode.com/problems/next-greater-element-iii,Next Greater Element III,Medium,35.3%,65.9%
588,https://leetcode.com/problems/design-in-memory-file-system,Design In-Memory File System,Hard,48.4%,65.9%
1347,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,Minimum Number of Steps to Make Two Strings Anagram,Medium,82.5%,65.9%
658,https://leetcode.com/problems/find-k-closest-elements,Find K Closest Elements,Medium,49.6%,63.8%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,56.5%,63.8%
859,https://leetcode.com/problems/buddy-strings,Buddy Strings,Easy,34.0%,63.8%
2049,https://leetcode.com/problems/count-nodes-with-the-highest-score,Count Nodes With the Highest Score,Medium,52.7%,60.1%
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,69.4%,51.6%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.4%,51.6%
542,https://leetcode.com/problems/01-matrix,01 Matrix,Medium,53.7%,51.6%
987,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,Vertical Order Traversal of a Binary Tree,Hard,53.6%,51.6%
1779,https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate,Find Nearest Point That Has the Same X or Y Coordinate,Easy,70.0%,51.6%
