ID,URL,Title,Difficulty,Acceptance %,Frequency %
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,47.7%,100.0%
931,https://leetcode.com/problems/minimum-falling-path-sum,Minimum Falling Path Sum,Medium,61.2%,87.5%
1092,https://leetcode.com/problems/shortest-common-supersequence,Shortest Common Supersequence,Hard,61.4%,87.5%
1526,https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array,Minimum Number of Increments on Subarrays to Form a Target Array,Hard,78.2%,86.1%
1642,https://leetcode.com/problems/furthest-building-you-can-reach,Furthest Building You Can Reach,Medium,50.8%,86.1%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,75.2%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,75.2%
16,https://leetcode.com/problems/3sum-closest,3Sum Closest,Medium,48.4%,75.2%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,47.9%,75.2%
416,https://leetcode.com/problems/partition-equal-subset-sum,Partition Equal Subset Sum,Medium,49.4%,75.2%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,75.2%
1475,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop,Final Prices With a Special Discount in a Shop,Easy,84.1%,75.2%
2222,https://leetcode.com/problems/number-of-ways-to-select-buildings,Number of Ways to Select Buildings,Medium,50.8%,75.2%
