ID,URL,Title,Difficulty,Acceptance %,Frequency %
924,https://leetcode.com/problems/minimize-malware-spread,"Minimize Malware Spread",Hard,43.1%,100.0%
1236,https://leetcode.com/problems/web-crawler,"Web Crawler",Medium,68.8%,100.0%
1242,https://leetcode.com/problems/web-crawler-multithreaded,"Web Crawler Multithreaded",Medium,51.2%,100.0%
2043,https://leetcode.com/problems/simple-bank-system,"Simple Bank System",Medium,69.7%,100.0%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,97.6%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,"Median of Two Sorted Arrays",Hard,46.4%,97.6%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Letter Combinations of a Phone Number",Medium,65.9%,97.6%
140,https://leetcode.com/problems/word-break-ii,"Word Break II",Hard,55.4%,97.6%
289,https://leetcode.com/problems/game-of-life,"Game of Life",Medium,72.5%,97.6%
290,https://leetcode.com/problems/word-pattern,"Word Pattern",Easy,44.0%,97.6%
291,https://leetcode.com/problems/word-pattern-ii,"Word Pattern II",Medium,48.8%,97.6%
362,https://leetcode.com/problems/design-hit-counter,"Design Hit Counter",Medium,69.7%,97.6%
609,https://leetcode.com/problems/find-duplicate-file-in-system,"Find Duplicate File in System",Medium,67.5%,97.6%
928,https://leetcode.com/problems/minimize-malware-spread-ii,"Minimize Malware Spread II",Hard,45.6%,97.6%
1001,https://leetcode.com/problems/grid-illumination,"Grid Illumination",Hard,39.3%,97.6%
1178,https://leetcode.com/problems/number-of-valid-words-for-each-puzzle,"Number of Valid Words for Each Puzzle",Hard,47.8%,97.6%
1250,https://leetcode.com/problems/check-if-it-is-a-good-array,"Check If It Is a Good Array",Hard,63.7%,97.6%
1845,https://leetcode.com/problems/seat-reservation-manager,"Seat Reservation Manager",Medium,67.2%,97.6%
2296,https://leetcode.com/problems/design-a-text-editor,"Design a Text Editor",Hard,50.4%,97.6%
695,https://leetcode.com/problems/max-area-of-island,"Max Area of Island",Medium,73.2%,87.5%
843,https://leetcode.com/problems/guess-the-word,"Guess the Word",Hard,36.8%,80.0%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,67.1%
135,https://leetcode.com/problems/candy,"Candy",Hard,48.3%,67.1%
347,https://leetcode.com/problems/top-k-frequent-elements,"Top K Frequent Elements",Medium,64.7%,62.5%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,62.5%,50.0%
305,https://leetcode.com/problems/number-of-islands-ii,"Number of Islands II",Hard,40.1%,50.0%
