ID,URL,Title,Difficulty,Acceptance %,Frequency %
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,100.0%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.6%,96.3%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,45.4%,92.1%
752,https://leetcode.com/problems/open-the-lock,Open the Lock,Medium,61.3%,92.1%
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,61.9%,87.5%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,37.4%,87.5%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.2%,87.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,87.1%
1909,https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing,Remove One Element to Make the Array Strictly Increasing,Easy,29.7%,87.1%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,80.9%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,80.9%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,38.6%,80.9%
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,62.8%,80.9%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.3%,80.9%
473,https://leetcode.com/problems/matchsticks-to-square,Matchsticks to Square,Medium,41.8%,80.9%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.9%,80.9%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,43.0%,75.0%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,53.6%,75.0%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,61.3%,75.0%
1038,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,Binary Search Tree to Greater Sum Tree,Medium,88.3%,75.0%
1372,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree,Longest ZigZag Path in a Binary Tree,Medium,66.7%,75.0%
472,https://leetcode.com/problems/concatenated-words,Concatenated Words,Hard,49.8%,73.1%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,73.1%
2544,https://leetcode.com/problems/alternating-digit-sum,Alternating Digit Sum,Easy,69.0%,73.1%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,44.0%,62.5%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,68.8%,62.5%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,65.0%,62.5%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,36.5%,62.5%
46,https://leetcode.com/problems/permutations,Permutations,Medium,80.8%,62.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.2%,62.5%
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,66.7%,62.5%
98,https://leetcode.com/problems/validate-binary-search-tree,Validate Binary Search Tree,Medium,34.5%,62.5%
