ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,100.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,96.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,88.2%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,51.2%,87.5%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,85.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,81.3%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,76.9%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,71.5%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.0%,71.5%
344,https://leetcode.com/problems/reverse-string,Reverse String,Easy,80.7%,71.5%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.5%,64.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,64.5%
43,https://leetcode.com/problems/multiply-strings,Multiply Strings,Medium,44.0%,64.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,64.5%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.7%,64.5%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,64.5%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.8%,64.5%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.1%,64.5%
345,https://leetcode.com/problems/reverse-vowels-of-a-string,Reverse Vowels of a String,Easy,61.1%,64.5%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,65.4%,64.5%
416,https://leetcode.com/problems/partition-equal-subset-sum,Partition Equal Subset Sum,Medium,49.4%,64.5%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.9%,64.5%
1026,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor,Maximum Difference Between Node and Ancestor,Medium,78.1%,64.5%
2033,https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid,Minimum Operations to Make a Uni-Value Grid,Medium,67.5%,64.5%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.0%,62.5%
92,https://leetcode.com/problems/reverse-linked-list-ii,Reverse Linked List II,Medium,49.7%,62.5%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,46.5%,62.5%
205,https://leetcode.com/problems/isomorphic-strings,Isomorphic Strings,Easy,47.0%,62.5%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.1%,62.5%
264,https://leetcode.com/problems/ugly-number-ii,Ugly Number II,Medium,49.3%,62.5%
570,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Managers with at Least 5 Direct Reports,Medium,48.9%,62.5%
704,https://leetcode.com/problems/binary-search,Binary Search,Easy,59.7%,62.5%
2704,https://leetcode.com/problems/to-be-or-not-to-be,To Be Or Not To Be,Easy,63.0%,62.5%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.4%,54.9%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,48.3%,54.7%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.8%,54.7%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.5%,54.7%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,54.7%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.6%,54.7%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,62.7%,54.7%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,42.8%,54.7%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,38.6%,54.7%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,54.7%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,66.8%,54.7%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,60.5%,54.7%
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,56.2%,54.7%
167,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,Medium,64.9%,54.7%
182,https://leetcode.com/problems/duplicate-emails,Duplicate Emails,Easy,73.7%,54.7%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,80.5%,54.7%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,54.7%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,54.7%
451,https://leetcode.com/problems/sort-characters-by-frequency,Sort Characters By Frequency,Medium,75.3%,54.7%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,47.7%,54.7%
1480,https://leetcode.com/problems/running-sum-of-1d-array,Running Sum of 1d Array,Easy,86.9%,54.7%
1907,https://leetcode.com/problems/count-salary-categories,Count Salary Categories,Medium,64.3%,54.7%
2620,https://leetcode.com/problems/counter,Counter,Easy,82.4%,54.7%
