ID,URL,Title,Difficulty,Acceptance %,Frequency %
306,https://leetcode.com/problems/additive-number,"Additive Number",Medium,33.7%,100.0%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Letter Combinations of a Phone Number",Medium,65.9%,91.0%
54,https://leetcode.com/problems/spiral-matrix,"Spiral Matrix",Medium,56.6%,89.7%
728,https://leetcode.com/problems/self-dividing-numbers,"Self Dividing Numbers",Easy,80.7%,85.3%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,81.6%
1215,https://leetcode.com/problems/stepping-numbers,"Stepping Numbers",Medium,48.4%,81.6%
79,https://leetcode.com/problems/word-search,"Word Search",Medium,47.2%,67.7%
1344,https://leetcode.com/problems/angle-between-hands-of-a-clock,"Angle Between Hands of a Clock",Medium,64.4%,67.7%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,57.5%
299,https://leetcode.com/problems/bulls-and-cows,"Bulls and Cows",Medium,52.4%,57.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,49.4%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,37.7%,49.4%
46,https://leetcode.com/problems/permutations,"Permutations",Medium,81.8%,49.4%
204,https://leetcode.com/problems/count-primes,"Count Primes",Medium,36.0%,49.4%
329,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Longest Increasing Path in a Matrix",Hard,56.5%,49.4%
647,https://leetcode.com/problems/palindromic-substrings,"Palindromic Substrings",Medium,72.7%,49.4%
