ID,URL,Title,Difficulty,Acceptance %,Frequency %
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Letter Combinations of a Phone Number",Medium,65.9%,100.0%
54,https://leetcode.com/problems/spiral-matrix,"Spiral Matrix",Medium,56.6%,96.9%
306,https://leetcode.com/problems/additive-number,"Additive Number",Medium,33.7%,96.9%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,86.5%
79,https://leetcode.com/problems/word-search,"Word Search",Medium,47.2%,76.4%
1344,https://leetcode.com/problems/angle-between-hands-of-a-clock,"Angle Between Hands of a Clock",Medium,64.4%,76.4%
728,https://leetcode.com/problems/self-dividing-numbers,"Self Dividing Numbers",Easy,80.7%,71.6%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,56.8%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,56.8%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,37.7%,56.8%
46,https://leetcode.com/problems/permutations,"Permutations",Medium,81.8%,56.8%
299,https://leetcode.com/problems/bulls-and-cows,"Bulls and Cows",Medium,52.4%,56.8%
647,https://leetcode.com/problems/palindromic-substrings,"Palindromic Substrings",Medium,72.7%,56.8%
1215,https://leetcode.com/problems/stepping-numbers,"Stepping Numbers",Medium,48.4%,56.8%
