ID,URL,Title,Difficulty,Acceptance %,Frequency %
1283,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,Find the Smallest Divisor Given a Threshold,Medium,65.8%,100.0%
611,https://leetcode.com/problems/valid-triangle-number,Valid Triangle Number,Medium,56.8%,95.7%
1492,https://leetcode.com/problems/the-kth-factor-of-n,The kth Factor of n,Medium,70.3%,95.7%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.9%,93.2%
1101,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,The Earliest Moment When Everyone Become Friends,Medium,66.0%,93.2%
1151,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,Minimum Swaps to Group All 1's Together,Medium,61.2%,93.2%
1328,https://leetcode.com/problems/break-a-palindrome,Break a Palindrome,Medium,51.6%,93.2%
1451,https://leetcode.com/problems/rearrange-words-in-a-sentence,Rearrange Words in a Sentence,Medium,67.0%,93.2%
1560,https://leetcode.com/problems/most-visited-sector-in-a-circular-track,Most Visited Sector in  a Circular Track,Easy,59.9%,93.2%
1611,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,Minimum One Bit Operations to Make Integers Zero,Hard,78.3%,93.2%
2168,https://leetcode.com/problems/unique-substrings-with-equal-digit-frequency,Unique Substrings With Equal Digit Frequency,Medium,64.6%,93.2%
2366,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,Minimum Replacements to Sort the Array,Hard,53.1%,93.2%
2491,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,Divide Players Into Teams of Equal Skill,Medium,68.9%,93.2%
2533,https://leetcode.com/problems/number-of-good-binary-strings,Number of Good Binary Strings,Medium,52.9%,93.2%
3136,https://leetcode.com/problems/valid-word,Valid Word,Easy,50.9%,93.2%
316,https://leetcode.com/problems/remove-duplicate-letters,Remove Duplicate Letters,Medium,53.1%,83.9%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,75.2%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,75.2%
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,60.9%,75.0%
1011,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,Capacity To Ship Packages Within D Days,Medium,72.3%,75.0%
1334,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,Find the City With the Smallest Number of Neighbors at a Threshold Distance,Medium,70.6%,75.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,69.4%
38,https://leetcode.com/problems/count-and-say,Count and Say,Medium,62.7%,69.4%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.1%,69.4%
724,https://leetcode.com/problems/find-pivot-index,Find Pivot Index,Easy,62.5%,69.4%
1962,https://leetcode.com/problems/remove-stones-to-minimize-the-total,Remove Stones to Minimize the Total,Medium,65.7%,69.4%
3035,https://leetcode.com/problems/maximum-palindromes-after-operations,Maximum Palindromes After Operations,Medium,46.2%,69.4%
3168,https://leetcode.com/problems/minimum-number-of-chairs-in-a-waiting-room,Minimum Number of Chairs in a Waiting Room,Easy,79.3%,69.4%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,41.6%,62.5%
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,66.1%,62.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,61.9%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,61.9%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.5%,61.9%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,61.9%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,61.9%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.7%,61.9%
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,57.0%,61.9%
926,https://leetcode.com/problems/flip-string-to-monotone-increasing,Flip String to Monotone Increasing,Medium,61.9%,61.9%
1465,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,Medium,41.4%,61.9%
1944,https://leetcode.com/problems/number-of-visible-people-in-a-queue,Number of Visible People in a Queue,Hard,72.9%,61.9%
2062,https://leetcode.com/problems/count-vowel-substrings-of-a-string,Count Vowel Substrings of a String,Easy,73.1%,61.9%
8,https://leetcode.com/problems/string-to-integer-atoi,String to Integer (atoi),Medium,21.7%,54.1%
452,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,Minimum Number of Arrows to Burst Balloons,Medium,61.9%,54.1%
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,54.9%,54.1%
904,https://leetcode.com/problems/fruit-into-baskets,Fruit Into Baskets,Medium,52.4%,54.1%
2116,https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid,Check if a Parentheses String Can Be Valid,Medium,45.3%,54.1%
2434,https://leetcode.com/problems/using-a-robot-to-print-the-lexicographically-smallest-string,Using a Robot to Print the Lexicographically Smallest String,Medium,62.2%,54.1%
2866,https://leetcode.com/problems/beautiful-towers-ii,Beautiful Towers II,Medium,36.7%,54.1%
2904,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string,Shortest and Lexicographically Smallest Beautiful String,Medium,59.9%,54.1%
98,https://leetcode.com/problems/validate-binary-search-tree,Validate Binary Search Tree,Medium,35.8%,51.6%
895,https://leetcode.com/problems/maximum-frequency-stack,Maximum Frequency Stack,Hard,66.8%,51.6%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,51.5%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,65.9%,51.5%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.6%,51.5%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,46.5%,51.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,51.5%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,45.4%,51.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,51.5%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.8%,51.5%
230,https://leetcode.com/problems/kth-smallest-element-in-a-bst,Kth Smallest Element in a BST,Medium,76.7%,51.5%
255,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree,Verify Preorder Sequence in Binary Search Tree,Medium,51.7%,51.5%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.0%,51.5%
532,https://leetcode.com/problems/k-diff-pairs-in-an-array,K-diff Pairs in an Array,Medium,45.8%,51.5%
695,https://leetcode.com/problems/max-area-of-island,Max Area of Island,Medium,73.9%,51.5%
697,https://leetcode.com/problems/degree-of-an-array,Degree of an Array,Easy,58.3%,51.5%
787,https://leetcode.com/problems/cheapest-flights-within-k-stops,Cheapest Flights Within K Stops,Medium,41.7%,51.5%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,51.5%
1353,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,Maximum Number of Events That Can Be Attended,Medium,39.0%,51.5%
1413,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,Minimum Value to Get Positive Step by Step Sum,Easy,64.7%,51.5%
1423,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,Maximum Points You Can Obtain from Cards,Medium,57.5%,51.5%
1481,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,Least Number of Unique Integers after K Removals,Medium,63.8%,51.5%
1507,https://leetcode.com/problems/reformat-date,Reformat Date,Easy,68.4%,51.5%
1963,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,Minimum Number of Swaps to Make the String Balanced,Medium,78.1%,51.5%
2006,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k,Count Number of Pairs With Absolute Difference K,Easy,85.4%,51.5%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,45.1%,51.4%
336,https://leetcode.com/problems/palindrome-pairs,Palindrome Pairs,Hard,37.3%,51.4%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,50.2%,51.4%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,46.4%,50.0%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.6%,50.0%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,53.1%,50.0%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,79.3%,50.0%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,58.0%,50.0%
567,https://leetcode.com/problems/permutation-in-string,Permutation in String,Medium,47.4%,50.0%
841,https://leetcode.com/problems/keys-and-rooms,Keys and Rooms,Medium,74.8%,50.0%
974,https://leetcode.com/problems/subarray-sums-divisible-by-k,Subarray Sums Divisible by K,Medium,55.7%,50.0%
