ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.5%,100.0%
38,https://leetcode.com/problems/count-and-say,Count and Say,Medium,62.7%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.3%,100.0%
895,https://leetcode.com/problems/maximum-frequency-stack,Maximum Frequency Stack,Hard,66.8%,100.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,88.3%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,88.3%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.8%,88.3%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.7%,88.3%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.0%,88.3%
724,https://leetcode.com/problems/find-pivot-index,Find Pivot Index,Easy,62.5%,88.3%
1962,https://leetcode.com/problems/remove-stones-to-minimize-the-total,Remove Stones to Minimize the Total,Medium,65.7%,88.3%
