ID,URL,Title,Difficulty,Acceptance %,Frequency %
408,https://leetcode.com/problems/valid-word-abbreviation,"Valid Word Abbreviation",Easy,37.0%,100.0%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,96.7%
1249,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"Minimum Remove to Make Valid Parentheses",Medium,71.4%,95.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,56.7%,93.3%
680,https://leetcode.com/problems/valid-palindrome-ii,"Valid Palindrome II",Easy,44.2%,90.9%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,"Kth Largest Element in an Array",Medium,68.9%,86.3%
560,https://leetcode.com/problems/subarray-sum-equals-k,"Subarray Sum Equals K",Medium,47.2%,85.7%
543,https://leetcode.com/problems/diameter-of-binary-tree,"Diameter of Binary Tree",Easy,65.4%,85.0%
199,https://leetcode.com/problems/binary-tree-right-side-view,"Binary Tree Right Side View",Medium,70.0%,84.4%
314,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Binary Tree Vertical Order Traversal",Medium,57.8%,82.2%
339,https://leetcode.com/problems/nested-list-weight-sum,"Nested List Weight Sum",Medium,86.0%,81.4%
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Lowest Common Ancestor of a Binary Tree",Medium,69.1%,80.7%
2,https://leetcode.com/problems/add-two-numbers,"Add Two Numbers",Medium,48.3%,79.0%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,78.1%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,77.2%
162,https://leetcode.com/problems/find-peak-element,"Find Peak Element",Medium,46.9%,76.2%
125,https://leetcode.com/problems/valid-palindrome,"Valid Palindrome",Easy,53.2%,75.2%
347,https://leetcode.com/problems/top-k-frequent-elements,"Top K Frequent Elements",Medium,66.3%,75.2%
827,https://leetcode.com/problems/making-a-large-island,"Making A Large Island",Hard,56.5%,75.2%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,"Median of Two Sorted Arrays",Hard,46.4%,74.2%
15,https://leetcode.com/problems/3sum,"3Sum",Medium,38.9%,74.2%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,38.6%,74.2%
71,https://leetcode.com/problems/simplify-path,"Simplify Path",Medium,50.4%,74.2%
88,https://leetcode.com/problems/merge-sorted-array,"Merge Sorted Array",Easy,54.7%,74.2%
528,https://leetcode.com/problems/random-pick-with-weight,"Random Pick with Weight",Medium,49.0%,74.2%
129,https://leetcode.com/problems/sum-root-to-leaf-numbers,"Sum Root to Leaf Numbers",Medium,69.9%,71.9%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Find First and Last Position of Element in Sorted Array",Medium,48.7%,70.7%
227,https://leetcode.com/problems/basic-calculator-ii,"Basic Calculator II",Medium,46.8%,70.7%
14,https://leetcode.com/problems/longest-common-prefix,"Longest Common Prefix",Easy,47.4%,69.4%
23,https://leetcode.com/problems/merge-k-sorted-lists,"Merge k Sorted Lists",Hard,59.4%,69.4%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,69.4%
489,https://leetcode.com/problems/robot-room-cleaner,"Robot Room Cleaner",Hard,78.0%,69.4%
973,https://leetcode.com/problems/k-closest-points-to-origin,"K Closest Points to Origin",Medium,68.9%,69.4%
1650,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,"Lowest Common Ancestor of a Binary Tree III",Medium,83.0%,69.4%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,37.7%,68.0%
647,https://leetcode.com/problems/palindromic-substrings,"Palindromic Substrings",Medium,72.7%,68.0%
