ID,URL,Title,Difficulty,Acceptance %,Frequency %
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,100.0%
1423,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,Maximum Points You Can Obtain from Cards,Medium,57.5%,100.0%
3576,https://leetcode.com/problems/transform-array-to-all-equal-elements,Transform Array to All Equal Elements,Medium,33.2%,100.0%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,47.9%,93.6%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.9%,93.6%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.5%,93.6%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,85.3%
321,https://leetcode.com/problems/create-maximum-number,Create Maximum Number,Hard,35.2%,85.3%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,80.1%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,80.1%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,49.7%,80.1%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,47.7%,80.1%
420,https://leetcode.com/problems/strong-password-checker,Strong Password Checker,Hard,14.7%,75.0%
1703,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones,Minimum Adjacent Swaps for K Consecutive Ones,Hard,42.0%,75.0%
2499,https://leetcode.com/problems/minimum-total-cost-to-make-arrays-unequal,Minimum Total Cost to Make Arrays Unequal,Hard,40.6%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,73.6%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,45.1%,73.6%
135,https://leetcode.com/problems/candy,Candy,Hard,48.3%,73.6%
174,https://leetcode.com/problems/dungeon-game,Dungeon Game,Hard,41.2%,73.6%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,54.4%,73.6%
675,https://leetcode.com/problems/cut-off-trees-for-golf-event,Cut Off Trees for Golf Event,Hard,36.3%,73.6%
749,https://leetcode.com/problems/contain-virus,Contain Virus,Hard,54.7%,73.6%
787,https://leetcode.com/problems/cheapest-flights-within-k-stops,Cheapest Flights Within K Stops,Medium,41.7%,73.6%
850,https://leetcode.com/problems/rectangle-area-ii,Rectangle Area II,Hard,56.1%,73.6%
907,https://leetcode.com/problems/sum-of-subarray-minimums,Sum of Subarray Minimums,Medium,38.5%,73.6%
1190,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,Reverse Substrings Between Each Pair of Parentheses,Medium,72.0%,73.6%
1383,https://leetcode.com/problems/maximum-performance-of-a-team,Maximum Performance of a Team,Hard,47.7%,73.6%
1463,https://leetcode.com/problems/cherry-pickup-ii,Cherry Pickup II,Hard,72.4%,73.6%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,65.4%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.6%,65.4%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,79.6%,65.4%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,65.4%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,66.8%,65.4%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,60.5%,65.4%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.5%,65.4%
