ID,URL,Title,Difficulty,Acceptance %,Frequency %
3441,https://leetcode.com/problems/minimum-cost-good-caption,Minimum Cost Good Caption,Hard,20.8%,100.0%
3445,https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-ii,Maximum Difference Between Even and Odd Frequency II,Hard,48.6%,100.0%
1292,https://leetcode.com/problems/maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,Medium,65.4%,94.9%
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,49.0%,88.3%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,84.1%
273,https://leetcode.com/problems/integer-to-english-words,Integer to English Words,Hard,35.0%,79.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,72.4%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.8%,72.4%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,63.1%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,63.1%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,63.1%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,63.1%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.0%,63.1%
185,https://leetcode.com/problems/department-top-three-salaries,Department Top Three Salaries,Hard,60.3%,63.1%
197,https://leetcode.com/problems/rising-temperature,Rising Temperature,Easy,51.2%,63.1%
270,https://leetcode.com/problems/closest-binary-search-tree-value,Closest Binary Search Tree Value,Easy,49.2%,63.1%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,39.6%,62.5%
