ID,URL,Title,Difficulty,Acceptance %,Frequency %
3119,https://leetcode.com/problems/maximum-number-of-potholes-that-can-be-fixed,"Maximum Number of Potholes That Can Be Fixed",Medium,53.4%,100.0%
2384,https://leetcode.com/problems/largest-palindromic-number,"Largest Palindromic Number",Medium,37.1%,98.0%
1404,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,"Number of Steps to Reduce a Number in Binary Representation to One",Medium,63.7%,87.7%
309,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,"Best Time to Buy and Sell Stock with Cooldown",Medium,62.0%,80.1%
322,https://leetcode.com/problems/coin-change,"Coin Change",Medium,48.3%,80.1%
36,https://leetcode.com/problems/valid-sudoku,"Valid Sudoku",Medium,64.4%,75.0%
2061,https://leetcode.com/problems/number-of-spaces-cleaning-robot-cleaned,"Number of Spaces Cleaning Robot Cleaned",Medium,62.7%,75.0%
41,https://leetcode.com/problems/first-missing-positive,"First Missing Positive",Hard,42.8%,68.4%
545,https://leetcode.com/problems/boundary-of-binary-tree,"Boundary of Binary Tree",Medium,48.1%,68.4%
1219,https://leetcode.com/problems/path-with-maximum-gold,"Path with Maximum Gold",Medium,68.4%,68.4%
1386,https://leetcode.com/problems/cinema-seat-allocation,"Cinema Seat Allocation",Medium,44.4%,68.4%
1405,https://leetcode.com/problems/longest-happy-string,"Longest Happy String",Medium,65.5%,68.4%
13,https://leetcode.com/problems/roman-to-integer,"Roman to Integer",Easy,65.0%,62.5%
315,https://leetcode.com/problems/count-of-smaller-numbers-after-self,"Count of Smaller Numbers After Self",Hard,42.9%,62.5%
12,https://leetcode.com/problems/integer-to-roman,"Integer to Roman",Medium,70.8%,59.2%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Best Time to Buy and Sell Stock II",Medium,71.0%,59.2%
213,https://leetcode.com/problems/house-robber-ii,"House Robber II",Medium,44.8%,59.2%
394,https://leetcode.com/problems/decode-string,"Decode String",Medium,62.5%,59.2%
1047,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"Remove All Adjacent Duplicates In String",Easy,73.1%,59.2%
2086,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,"Minimum Number of Food Buckets to Feed the Hamsters",Medium,48.2%,59.2%
2850,https://leetcode.com/problems/minimum-moves-to-spread-stones-over-grid,"Minimum Moves to Spread Stones Over Grid",Medium,45.6%,59.2%
