ID,URL,Title,Difficulty,Acceptance %,Frequency %
323,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph,Number of Connected Components in an Undirected Graph,Medium,64.9%,100.0%
1404,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,Number of Steps to Reduce a Number in Binary Representation to One,Medium,63.7%,67.8%
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,69.4%,63.7%
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,68.1%,58.4%
689,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays,Maximum Sum of 3 Non-Overlapping Subarrays,Hard,59.8%,58.4%
1570,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,Dot Product of Two Sparse Vectors,Medium,89.9%,58.4%
1647,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique,Minimum Deletions to Make Character Frequencies Unique,Medium,61.5%,51.6%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,42.8%,51.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,51.0%
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,60.6%,51.0%
843,https://leetcode.com/problems/guess-the-word,Guess the Word,Hard,36.8%,51.0%
1637,https://leetcode.com/problems/widest-vertical-area-between-two-points-containing-no-points,Widest Vertical Area Between Two Points Containing No Points,Easy,87.1%,51.0%
1904,https://leetcode.com/problems/the-number-of-full-rounds-you-have-played,The Number of Full Rounds You Have Played,Medium,43.4%,50.0%
2899,https://leetcode.com/problems/last-visited-integers,Last Visited Integers,Easy,61.2%,50.0%
