ID,URL,Title,Difficulty,Acceptance %,Frequency %
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,100.0%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,80.6%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,65.4%,78.9%
166,https://leetcode.com/problems/fraction-to-recurring-decimal,Fraction to Recurring Decimal,Medium,30.8%,77.7%
1086,https://leetcode.com/problems/high-five,High Five,Easy,74.2%,76.7%
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,68.1%,66.4%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,64.4%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,63.0%
1041,https://leetcode.com/problems/robot-bounded-in-circle,Robot Bounded In Circle,Medium,56.5%,63.0%
1507,https://leetcode.com/problems/reformat-date,Reformat Date,Easy,67.4%,62.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,61.4%
1823,https://leetcode.com/problems/find-the-winner-of-the-circular-game,Find the Winner of the Circular Game,Medium,82.2%,61.4%
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,37.9%,60.6%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,57.8%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,57.8%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,57.8%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,56.8%
153,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Medium,54.1%,56.8%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.9%,56.8%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,71.0%,55.6%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,53.2%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,51.8%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.9%,50.3%
3494,https://leetcode.com/problems/find-the-minimum-amount-of-time-to-brew-potions,Find the Minimum Amount of Time to Brew Potions,Medium,62.7%,50.3%
2375,https://leetcode.com/problems/construct-smallest-number-from-di-string,Construct Smallest Number From DI String,Medium,85.6%,48.7%
3437,https://leetcode.com/problems/permutations-iii,Permutations III,Medium,86.9%,48.7%
118,https://leetcode.com/problems/pascals-triangle,Pascal's Triangle,Easy,78.9%,46.9%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.7%,46.9%
657,https://leetcode.com/problems/robot-return-to-origin,Robot Return to Origin,Easy,78.1%,46.9%
706,https://leetcode.com/problems/design-hashmap,Design HashMap,Easy,66.5%,46.9%
3167,https://leetcode.com/problems/better-compression-of-string,Better Compression of String,Medium,75.4%,46.9%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,44.8%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.8%,44.8%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.8%,44.8%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,44.8%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.3%,44.8%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,59.5%,44.8%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,44.8%
647,https://leetcode.com/problems/palindromic-substrings,Palindromic Substrings,Medium,72.7%,44.8%
688,https://leetcode.com/problems/knight-probability-in-chessboard,Knight Probability in Chessboard,Medium,57.0%,44.8%
844,https://leetcode.com/problems/backspace-string-compare,Backspace String Compare,Easy,49.9%,44.8%
1395,https://leetcode.com/problems/count-number-of-teams,Count Number of Teams,Medium,70.2%,44.8%
