ID,URL,Title,Difficulty,Acceptance %,Frequency %
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,100.0%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,89.0%
1648,https://leetcode.com/problems/sell-diminishing-valued-colored-balls,Sell Diminishing-Valued Colored Balls,Medium,30.4%,87.6%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.9%,84.5%
516,https://leetcode.com/problems/longest-palindromic-subsequence,Longest Palindromic Subsequence,Medium,65.9%,81.1%
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,68.1%,78.9%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,75.5%
1086,https://leetcode.com/problems/high-five,High Five,Easy,74.2%,75.5%
2791,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree,Count Paths That Can Form a Palindrome in a Tree,Hard,52.2%,68.3%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,66.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,66.5%
166,https://leetcode.com/problems/fraction-to-recurring-decimal,Fraction to Recurring Decimal,Medium,30.8%,66.5%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,65.4%,66.5%
1209,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,Remove All Adjacent Duplicates in String II,Medium,61.2%,66.5%
1665,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks,Minimum Initial Energy to Finish Tasks,Hard,76.4%,65.0%
790,https://leetcode.com/problems/domino-and-tromino-tiling,Domino and Tromino Tiling,Medium,51.2%,64.4%
2948,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,Make Lexicographically Smallest Array by Swapping Elements,Medium,66.5%,64.4%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.1%,62.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,45.4%,62.5%
1823,https://leetcode.com/problems/find-the-winner-of-the-circular-game,Find the Winner of the Circular Game,Medium,82.1%,62.5%
3437,https://leetcode.com/problems/permutations-iii,Permutations III,Medium,85.8%,62.5%
3494,https://leetcode.com/problems/find-the-minimum-amount-of-time-to-brew-potions,Find the Minimum Amount of Time to Brew Potions,Medium,35.4%,62.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,60.1%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,60.1%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.7%,60.1%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,60.1%
465,https://leetcode.com/problems/optimal-account-balancing,Optimal Account Balancing,Hard,50.4%,60.1%
657,https://leetcode.com/problems/robot-return-to-origin,Robot Return to Origin,Easy,78.1%,60.1%
945,https://leetcode.com/problems/minimum-increment-to-make-array-unique,Minimum Increment to Make Array Unique,Medium,60.6%,60.1%
706,https://leetcode.com/problems/design-hashmap,Design HashMap,Easy,66.7%,55.8%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,38.6%,53.7%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,42.7%,53.7%
240,https://leetcode.com/problems/search-a-2d-matrix-ii,Search a 2D Matrix II,Medium,58.0%,53.7%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.5%,51.1%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,51.1%
