ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,100.0%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,48.3%,77.2%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.4%,74.2%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,73.8%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.7%,73.7%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.2%,73.2%
2667,https://leetcode.com/problems/create-hello-world-function,Create Hello World Function,Easy,81.9%,73.0%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.5%,72.7%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,71.9%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,71.8%
1768,https://leetcode.com/problems/merge-strings-alternately,Merge Strings Alternately,Easy,82.1%,71.1%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.9%,70.9%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,69.5%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,69.1%
1757,https://leetcode.com/problems/recyclable-and-low-fat-products,Recyclable and Low Fat Products,Easy,88.7%,68.6%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.9%,67.8%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,66.6%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.5%,66.1%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,66.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,65.9%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.0%,65.4%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,65.3%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,66.2%,65.3%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.8%,65.0%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,62.7%,64.8%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,64.8%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,45.1%,62.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.2%,60.9%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.6%,60.8%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,80.5%,60.2%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.6%,59.7%
2235,https://leetcode.com/problems/add-two-integers,Add Two Integers,Easy,87.9%,59.6%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,59.5%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.5%,59.1%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,58.6%
27,https://leetcode.com/problems/remove-element,Remove Element,Easy,61.7%,58.4%
1526,https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array,Minimum Number of Increments on Subarrays to Form a Target Array,Hard,78.2%,58.2%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,58.0%
118,https://leetcode.com/problems/pascals-triangle,Pascal's Triangle,Easy,78.9%,57.6%
136,https://leetcode.com/problems/single-number,Single Number,Easy,77.6%,57.6%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.9%,57.6%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.8%,57.0%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,49.7%,57.0%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,65.9%,56.9%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,56.9%
51,https://leetcode.com/problems/n-queens,N-Queens,Hard,75.4%,56.8%
18,https://leetcode.com/problems/4sum,4Sum,Medium,40.5%,56.6%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,46.9%,56.6%
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,60.3%,56.5%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.3%,56.3%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.8%,56.3%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,46.5%,56.0%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.1%,56.0%
66,https://leetcode.com/problems/plus-one,Plus One,Easy,49.9%,55.7%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.8%,55.4%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,55.3%
2995,https://leetcode.com/problems/viewers-turned-streamers,Viewers Turned Streamers,Hard,42.8%,55.3%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.0%,55.1%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,79.6%,55.0%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.9%,55.0%
35,https://leetcode.com/problems/search-insert-position,Search Insert Position,Easy,51.1%,54.8%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.5%,54.7%
6,https://leetcode.com/problems/zigzag-conversion,Zigzag Conversion,Medium,54.0%,54.3%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.5%,54.3%
485,https://leetcode.com/problems/max-consecutive-ones,Max Consecutive Ones,Easy,65.0%,54.3%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,38.6%,53.7%
354,https://leetcode.com/problems/russian-doll-envelopes,Russian Doll Envelopes,Hard,37.8%,53.7%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,59.5%,53.7%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,59.2%,53.7%
67,https://leetcode.com/problems/add-binary,Add Binary,Easy,57.9%,53.5%
