ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,100.0%
2,https://leetcode.com/problems/add-two-numbers,"Add Two Numbers",Medium,48.3%,72.1%
14,https://leetcode.com/problems/longest-common-prefix,"Longest Common Prefix",Easy,47.4%,69.2%
11,https://leetcode.com/problems/container-with-most-water,"Container With Most Water",Medium,59.9%,66.4%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,"Median of Two Sorted Arrays",Hard,46.4%,65.8%
9,https://leetcode.com/problems/palindrome-number,"Palindrome Number",Easy,60.5%,65.8%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,64.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,56.7%,64.5%
1929,https://leetcode.com/problems/concatenation-of-array,"Concatenation of Array",Easy,90.4%,64.5%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,37.7%,63.1%
175,https://leetcode.com/problems/combine-two-tables,"Combine Two Tables",Easy,79.5%,63.1%
13,https://leetcode.com/problems/roman-to-integer,"Roman to Integer",Easy,66.5%,60.8%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,67.2%,60.8%
88,https://leetcode.com/problems/merge-sorted-array,"Merge Sorted Array",Easy,54.7%,60.8%
169,https://leetcode.com/problems/majority-element,"Majority Element",Easy,66.2%,60.8%
15,https://leetcode.com/problems/3sum,"3Sum",Medium,38.9%,59.9%
128,https://leetcode.com/problems/longest-consecutive-sequence,"Longest Consecutive Sequence",Medium,47.1%,59.9%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,59.1%
53,https://leetcode.com/problems/maximum-subarray,"Maximum Subarray",Medium,53.2%,59.1%
560,https://leetcode.com/problems/subarray-sum-equals-k,"Subarray Sum Equals K",Medium,47.2%,59.1%
347,https://leetcode.com/problems/top-k-frequent-elements,"Top K Frequent Elements",Medium,66.3%,58.1%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Remove Duplicates from Sorted Array",Easy,62.7%,57.1%
7,https://leetcode.com/problems/reverse-integer,"Reverse Integer",Medium,31.8%,55.0%
31,https://leetcode.com/problems/next-permutation,"Next Permutation",Medium,45.1%,55.0%
2667,https://leetcode.com/problems/create-hello-world-function,"Create Hello World Function",Easy,81.9%,55.0%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,53.8%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,64.2%,53.8%
206,https://leetcode.com/problems/reverse-linked-list,"Reverse Linked List",Easy,80.5%,53.8%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,"Kth Largest Element in an Array",Medium,68.9%,53.8%
283,https://leetcode.com/problems/move-zeroes,"Move Zeroes",Easy,63.8%,53.8%
875,https://leetcode.com/problems/koko-eating-bananas,"Koko Eating Bananas",Medium,49.9%,52.6%
242,https://leetcode.com/problems/valid-anagram,"Valid Anagram",Easy,68.0%,51.2%
394,https://leetcode.com/problems/decode-string,"Decode String",Medium,62.5%,51.2%
23,https://leetcode.com/problems/merge-k-sorted-lists,"Merge k Sorted Lists",Hard,57.0%,50.0%
326,https://leetcode.com/problems/power-of-three,"Power of Three",Easy,48.1%,50.0%
440,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order,"K-th Smallest in Lexicographical Order",Hard,45.9%,50.0%
670,https://leetcode.com/problems/maximum-swap,"Maximum Swap",Medium,51.8%,50.0%
3250,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-i,"Find the Count of Monotonic Pairs I",Hard,46.6%,50.0%
3481,https://leetcode.com/problems/apply-substitutions,"Apply Substitutions",Medium,78.1%,50.0%
3529,https://leetcode.com/problems/count-cells-in-overlapping-horizontal-and-vertical-substrings,"Count Cells in Overlapping Horizontal and Vertical Substrings",Medium,22.8%,50.0%
3532,https://leetcode.com/problems/path-existence-queries-in-a-graph-i,"Path Existence Queries in a Graph I",Medium,54.9%,50.0%
3537,https://leetcode.com/problems/fill-a-special-grid,"Fill a Special Grid",Medium,70.0%,50.0%
3574,https://leetcode.com/problems/maximize-subarray-gcd-score,"Maximize Subarray GCD Score",Hard,21.8%,50.0%
3597,https://leetcode.com/problems/partition-string,"Partition String",Medium,56.2%,50.0%
49,https://leetcode.com/problems/group-anagrams,"Group Anagrams",Medium,72.5%,49.8%
51,https://leetcode.com/problems/n-queens,"N-Queens",Hard,75.4%,49.8%
354,https://leetcode.com/problems/russian-doll-envelopes,"Russian Doll Envelopes",Hard,37.8%,49.8%
