ID,URL,Title,Difficulty,Acceptance %,Frequency %
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,57.9%,100.0%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,43.3%,100.0%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,41.6%,100.0%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,59.0%,100.0%
810,https://leetcode.com/problems/chalkboard-xor-game,Chalkboard XOR Game,Hard,63.2%,100.0%
992,https://leetcode.com/problems/subarrays-with-k-different-integers,Subarrays with K Different Integers,Hard,68.0%,100.0%
2448,https://leetcode.com/problems/minimum-cost-to-make-array-equal,Minimum Cost to Make Array Equal,Hard,46.4%,100.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.6%,88.7%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,56.0%,88.7%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,87.2%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.5%,77.0%
974,https://leetcode.com/problems/subarray-sums-divisible-by-k,Subarray Sums Divisible by K,Medium,56.2%,77.0%
