ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,100.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,90.4%
9,https://leetcode.com/problems/palindrome-number,"Palindrome Number",Easy,60.5%,85.4%
3457,https://leetcode.com/problems/eat-pizzas,"Eat Pizzas!",Medium,33.3%,81.4%
3467,https://leetcode.com/problems/transform-array-by-parity,"Transform Array by Parity",Easy,89.8%,81.4%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,56.7%,79.2%
3336,https://leetcode.com/problems/find-the-number-of-subsequences-with-equal-gcd,"Find the Number of Subsequences With Equal GCD",Hard,31.5%,79.2%
3449,https://leetcode.com/problems/maximize-the-minimum-game-score,"Maximize the Minimum Game Score",Hard,26.3%,79.2%
3575,https://leetcode.com/problems/maximum-good-subtree-score,"Maximum Good Subtree Score",Hard,45.5%,79.2%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,76.7%
31,https://leetcode.com/problems/next-permutation,"Next Permutation",Medium,45.1%,73.9%
53,https://leetcode.com/problems/maximum-subarray,"Maximum Subarray",Medium,53.2%,73.9%
134,https://leetcode.com/problems/gas-station,"Gas Station",Medium,47.9%,70.7%
14,https://leetcode.com/problems/longest-common-prefix,"Longest Common Prefix",Easy,47.4%,67.0%
22,https://leetcode.com/problems/generate-parentheses,"Generate Parentheses",Medium,78.6%,67.0%
48,https://leetcode.com/problems/rotate-image,"Rotate Image",Medium,79.6%,67.0%
242,https://leetcode.com/problems/valid-anagram,"Valid Anagram",Easy,68.0%,67.0%
509,https://leetcode.com/problems/fibonacci-number,"Fibonacci Number",Easy,74.1%,67.0%
560,https://leetcode.com/problems/subarray-sum-equals-k,"Subarray Sum Equals K",Medium,47.2%,67.0%
2940,https://leetcode.com/problems/find-building-where-alice-and-bob-can-meet,"Find Building Where Alice and Bob Can Meet",Hard,52.2%,67.0%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,37.7%,62.7%
15,https://leetcode.com/problems/3sum,"3Sum",Medium,38.9%,62.7%
49,https://leetcode.com/problems/group-anagrams,"Group Anagrams",Medium,72.5%,62.7%
70,https://leetcode.com/problems/climbing-stairs,"Climbing Stairs",Easy,54.0%,62.7%
88,https://leetcode.com/problems/merge-sorted-array,"Merge Sorted Array",Easy,54.7%,62.7%
176,https://leetcode.com/problems/second-highest-salary,"Second Highest Salary",Medium,46.8%,62.7%
198,https://leetcode.com/problems/house-robber,"House Robber",Medium,53.1%,62.7%
303,https://leetcode.com/problems/range-sum-query-immutable,"Range Sum Query - Immutable",Easy,72.0%,62.7%
322,https://leetcode.com/problems/coin-change,"Coin Change",Medium,48.3%,62.7%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,"Reverse Nodes in k-Group",Hard,63.3%,62.5%
69,https://leetcode.com/problems/sqrtx,"Sqrt(x)",Easy,40.5%,62.5%
131,https://leetcode.com/problems/palindrome-partitioning,"Palindrome Partitioning",Medium,72.4%,62.5%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,62.5%,62.5%
268,https://leetcode.com/problems/missing-number,"Missing Number",Easy,70.3%,62.5%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,"Single Element in a Sorted Array",Medium,59.2%,62.5%
18,https://leetcode.com/problems/4sum,"4Sum",Medium,40.5%,57.4%
21,https://leetcode.com/problems/merge-two-sorted-lists,"Merge Two Sorted Lists",Easy,68.2%,57.4%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Remove Duplicates from Sorted Array",Easy,62.7%,57.4%
54,https://leetcode.com/problems/spiral-matrix,"Spiral Matrix",Medium,56.6%,57.4%
141,https://leetcode.com/problems/linked-list-cycle,"Linked List Cycle",Easy,54.2%,57.4%
151,https://leetcode.com/problems/reverse-words-in-a-string,"Reverse Words in a String",Medium,56.2%,57.4%
162,https://leetcode.com/problems/find-peak-element,"Find Peak Element",Medium,46.9%,57.4%
189,https://leetcode.com/problems/rotate-array,"Rotate Array",Medium,44.8%,57.4%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,"Kth Largest Element in an Array",Medium,68.9%,57.4%
238,https://leetcode.com/problems/product-of-array-except-self,"Product of Array Except Self",Medium,68.8%,57.4%
344,https://leetcode.com/problems/reverse-string,"Reverse String",Easy,80.7%,57.4%
