ID,URL,Title,Difficulty,Acceptance %,Frequency %
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.6%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.4%,100.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,100.0%
992,https://leetcode.com/problems/subarrays-with-k-different-integers,Subarrays with K Different Integers,Hard,66.1%,100.0%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.9%,100.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.5%,87.9%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.1%,87.9%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.3%,87.9%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,47.0%,87.9%
319,https://leetcode.com/problems/bulb-switcher,Bulb Switcher,Medium,55.9%,87.9%
